Churn,Account_Age,Internet_Service,Data_Usage,Customer_Service_Calls,MonthlyCharge,Source
No,9.0,No,685.0,1,124.993537,WGU Telecom Co.
No,10.0,Yes,1663.0,1,174.976769,WGU Telecom Co.
Yes,15.0,Yes,2437.0,0,225.145743,WGU Telecom Co.
Yes,24.0,Yes,2678.0,0,275.133571,WGU Telecom Co.
Yes,11.0,Yes,1779.0,1,287.642733,WGU Telecom Co.
Yes,11.0,No,1495.0,0,177.65076,WGU Telecom Co.
Yes,7.0,Yes,1741.0,0,220.114868,WGU Telecom Co.
Yes,2.0,No,705.0,0,197.516854,WGU Telecom Co.
No,2.0,Yes,558.0,1,194.974431,WGU Telecom Co.
Yes,9.0,No,1282.0,0,175.133074,WGU Telecom Co.
Yes,2.0,Yes,288.0,0,147.478341,WGU Telecom Co.
No,12.0,No,1130.0,2,134.980139,WGU Telecom Co.
No,3.0,Yes,394.0,3,157.483594,WGU Telecom Co.
No,10.0,Yes,1302.0,2,255.141716,WGU Telecom Co.
No,10.0,Yes,970.0,0,137.439154,WGU Telecom Co.
No,23.0,Yes,2523.0,0,235.159141,WGU Telecom Co.
Yes,5.0,Yes,683.0,0,147.460067,WGU Telecom Co.
Yes,7.0,Yes,1537.0,1,232.637807,WGU Telecom Co.
Yes,21.0,Yes,1962.0,3,137.439154,WGU Telecom Co.
No,2.0,Yes,676.0,3,129.948316,WGU Telecom Co.
Yes,4.0,Yes,929.0,3,242.632554,WGU Telecom Co.
Yes,12.0,Yes,1849.0,0,187.609354,WGU Telecom Co.
Yes,12.0,No,1999.0,0,232.652038,WGU Telecom Co.
No,21.0,No,1899.0,1,159.980465,WGU Telecom Co.
Yes,4.0,Yes,992.0,1,159.947583,WGU Telecom Co.
No,11.0,Yes,995.0,0,137.487242,WGU Telecom Co.
Yes,1.0,Yes,954.0,0,245.131966,WGU Telecom Co.
No,13.0,Yes,1776.0,0,117.439154,WGU Telecom Co.
Yes,6.0,Yes,1297.0,0,209.993134,WGU Telecom Co.
No,19.0,Yes,1746.0,0,169.974105,WGU Telecom Co.
No,10.0,Yes,1698.0,1,197.470195,WGU Telecom Co.
Yes,5.0,No,665.0,1,137.516476,WGU Telecom Co.
Yes,12.0,Yes,1886.0,0,207.475448,WGU Telecom Co.
No,8.0,Yes,959.0,1,160.00128,WGU Telecom Co.
No,15.0,Yes,1446.0,1,147.478341,WGU Telecom Co.
No,6.0,No,775.0,1,127.488728,WGU Telecom Co.
No,18.0,No,1940.0,2,139.981577,WGU Telecom Co.
Yes,8.0,Yes,1166.0,0,220.132293,WGU Telecom Co.
No,4.0,Yes,751.0,0,214.952509,WGU Telecom Co.
No,11.0,No,1292.0,1,139.99789,WGU Telecom Co.
Yes,14.0,Yes,2335.0,1,270.160419,WGU Telecom Co.
Yes,3.0,Yes,770.0,1,202.443347,WGU Telecom Co.
No,17.0,Yes,1730.0,1,172.47417,WGU Telecom Co.
Yes,4.0,No,649.0,1,137.468388,WGU Telecom Co.
No,6.0,No,823.0,3,104.962874,WGU Telecom Co.
No,4.0,Yes,1108.0,3,174.969934,WGU Telecom Co.
No,4.0,No,684.0,1,139.99789,WGU Telecom Co.
No,4.0,Yes,1301.0,2,144.988941,WGU Telecom Co.
No,10.0,No,1079.0,0,114.997564,WGU Telecom Co.
Yes,10.0,No,1283.0,1,172.484753,WGU Telecom Co.
No,9.0,Yes,988.0,2,124.97808,WGU Telecom Co.
No,9.0,Yes,1088.0,2,174.991856,WGU Telecom Co.
No,8.0,No,583.0,0,92.488023,WGU Telecom Co.
No,12.0,Yes,1779.0,0,139.965008,WGU Telecom Co.
Yes,2.0,Yes,900.0,0,192.470522,WGU Telecom Co.
Yes,14.0,Yes,1694.0,1,220.118516,WGU Telecom Co.
Yes,7.0,Yes,1144.0,0,232.622804,WGU Telecom Co.
No,4.0,No,886.0,1,210.156274,WGU Telecom Co.
No,3.0,Yes,373.0,1,114.972827,WGU Telecom Co.
No,14.0,Yes,1245.0,1,149.977753,WGU Telecom Co.
Yes,15.0,Yes,1565.0,3,184.985293,WGU Telecom Co.
No,6.0,Yes,1354.0,1,132.479779,WGU Telecom Co.
Yes,12.0,Yes,1971.0,0,190.12704,WGU Telecom Co.
No,6.0,No,624.0,1,92.488023,WGU Telecom Co.
Yes,23.0,Yes,3041.0,2,220.114868,WGU Telecom Co.
Yes,1.0,Yes,865.0,1,107.495766,WGU Telecom Co.
No,21.0,No,2042.0,0,169.967067,WGU Telecom Co.
Yes,11.0,No,1974.0,0,222.679213,WGU Telecom Co.
Yes,10.0,Yes,1756.0,0,200.132293,WGU Telecom Co.
Yes,12.0,Yes,1759.0,2,262.610632,WGU Telecom Co.
Yes,2.0,No,557.0,2,152.495236,WGU Telecom Co.
No,14.0,Yes,2205.0,1,202.636202,WGU Telecom Co.
No,9.0,Yes,1451.0,0,127.478341,WGU Telecom Co.
No,5.0,Yes,609.0,0,159.983006,WGU Telecom Co.
Yes,6.0,Yes,1221.0,2,124.960655,WGU Telecom Co.
Yes,1.0,Yes,745.0,1,252.62403,WGU Telecom Co.
No,8.0,Yes,1220.0,0,104.97808,WGU Telecom Co.
Yes,14.0,Yes,1771.0,1,204.961033,WGU Telecom Co.
Yes,6.0,Yes,1201.0,2,245.145743,WGU Telecom Co.
No,7.0,No,764.0,1,95.019486,WGU Telecom Co.
No,9.0,Yes,1022.0,2,169.937833,WGU Telecom Co.
Yes,5.0,Yes,1284.0,0,207.475448,WGU Telecom Co.
No,3.0,No,290.0,0,114.983787,WGU Telecom Co.
Yes,8.0,Yes,1719.0,4,232.637807,WGU Telecom Co.
No,15.0,Yes,2495.0,2,225.131966,WGU Telecom Co.
Yes,14.0,Yes,2271.0,1,212.641455,WGU Telecom Co.
Yes,1.0,No,568.0,3,152.495236,WGU Telecom Co.
Yes,3.0,Yes,380.0,0,134.950905,WGU Telecom Co.
Yes,5.0,Yes,1436.0,1,200.132293,WGU Telecom Co.
No,9.0,Yes,1853.0,3,197.470195,WGU Telecom Co.
No,11.0,Yes,1312.0,3,192.456745,WGU Telecom Co.
Yes,8.0,Yes,863.0,2,162.471255,WGU Telecom Co.
Yes,14.0,No,1855.0,2,222.660939,WGU Telecom Co.
No,15.0,Yes,1778.0,1,114.950905,WGU Telecom Co.
Yes,5.0,Yes,764.0,1,182.446995,WGU Telecom Co.
No,3.0,No,307.0,1,95.005709,WGU Telecom Co.
Yes,2.0,Yes,1180.0,2,172.456745,WGU Telecom Co.
No,2.0,No,1040.0,1,177.65076,WGU Telecom Co.
No,6.0,No,1080.0,2,207.638588,WGU Telecom Co.
Yes,5.0,Yes,776.0,2,220.118516,WGU Telecom Co.
No,10.0,No,1062.0,1,137.468388,WGU Telecom Co.
Yes,12.0,Yes,1334.0,2,159.965008,WGU Telecom Co.
No,25.0,Yes,2346.0,1,182.465269,WGU Telecom Co.
No,10.0,Yes,1492.0,1,129.977753,WGU Telecom Co.
Yes,8.0,No,927.0,0,112.484375,WGU Telecom Co.
No,5.0,No,687.0,0,127.488728,WGU Telecom Co.
No,14.0,Yes,1461.0,1,162.471255,WGU Telecom Co.
Yes,12.0,Yes,1942.0,0,154.961766,WGU Telecom Co.
No,18.0,Yes,1924.0,0,194.976769,WGU Telecom Co.
No,8.0,Yes,1240.0,1,192.48852,WGU Telecom Co.
No,22.0,Yes,2499.0,1,162.452604,WGU Telecom Co.
No,2.0,No,302.0,1,107.48056,WGU Telecom Co.
Yes,13.0,Yes,1865.0,1,142.482694,WGU Telecom Co.
Yes,3.0,No,909.0,1,165.018175,WGU Telecom Co.
No,7.0,No,791.0,0,125.007314,WGU Telecom Co.
Yes,4.0,Yes,956.0,2,139.987503,WGU Telecom Co.
No,5.0,Yes,639.0,1,112.455141,WGU Telecom Co.
Yes,5.0,Yes,1572.0,1,212.622804,WGU Telecom Co.
No,32.0,Yes,3100.0,0,182.460772,WGU Telecom Co.
Yes,11.0,Yes,1600.0,1,159.947583,WGU Telecom Co.
No,17.0,Yes,2189.0,0,245.145743,WGU Telecom Co.
No,18.0,Yes,1587.0,0,149.977753,WGU Telecom Co.
Yes,17.0,Yes,1828.0,1,184.967019,WGU Telecom Co.
No,18.0,Yes,1867.0,1,92.455141,WGU Telecom Co.
No,10.0,Yes,1719.0,1,149.944668,WGU Telecom Co.
Yes,3.0,Yes,556.0,0,167.456419,WGU Telecom Co.
Yes,3.0,No,1035.0,3,197.516854,WGU Telecom Co.
Yes,16.0,No,1580.0,1,152.488401,WGU Telecom Co.
Yes,3.0,Yes,704.0,2,162.482694,WGU Telecom Co.
Yes,15.0,Yes,1842.0,2,262.610632,WGU Telecom Co.
Yes,6.0,No,1167.0,0,190.173699,WGU Telecom Co.
Yes,6.0,No,1007.0,0,187.513939,WGU Telecom Co.
Yes,7.0,Yes,1501.0,1,212.641455,WGU Telecom Co.
No,9.0,Yes,1405.0,1,104.964303,WGU Telecom Co.
Yes,4.0,Yes,1342.0,1,232.637807,WGU Telecom Co.
No,10.0,No,1251.0,0,142.499263,WGU Telecom Co.
Yes,11.0,Yes,1711.0,1,277.63748,WGU Telecom Co.
No,2.0,Yes,169.0,0,112.455141,WGU Telecom Co.
Yes,9.0,Yes,1262.0,0,220.118516,WGU Telecom Co.
Yes,1.0,Yes,795.0,0,139.951231,WGU Telecom Co.
No,1.0,Yes,713.0,1,184.978458,WGU Telecom Co.
Yes,3.0,No,953.0,2,210.138,WGU Telecom Co.
No,2.0,Yes,779.0,0,142.468917,WGU Telecom Co.
No,3.0,Yes,627.0,1,160.00128,WGU Telecom Co.
No,32.0,Yes,2938.0,3,127.481989,WGU Telecom Co.
No,13.0,Yes,1566.0,0,162.452604,WGU Telecom Co.
No,19.0,Yes,1890.0,2,172.457857,WGU Telecom Co.
No,9.0,Yes,1421.0,0,255.155493,WGU Telecom Co.
Yes,4.0,Yes,1255.0,1,184.979684,WGU Telecom Co.
Yes,10.0,Yes,1570.0,1,175.006206,WGU Telecom Co.
No,4.0,Yes,500.0,0,112.455141,WGU Telecom Co.
No,11.0,Yes,1564.0,0,194.958118,WGU Telecom Co.
No,5.0,Yes,787.0,0,172.44408,WGU Telecom Co.
No,5.0,No,1120.0,2,200.165175,WGU Telecom Co.
No,6.0,Yes,1156.0,1,127.460067,WGU Telecom Co.
No,19.0,Yes,1995.0,0,147.478341,WGU Telecom Co.
No,5.0,Yes,922.0,2,207.49737,WGU Telecom Co.
