Churn,Internet_Service,Data_Usage,Customer_Service_Calls,MonthlyCharge,Account_Age,Source
No,Yes,44.0,0,85.0,32.0,Kaggle Competitor
No,No,0.0,1,54.0,1.0,Kaggle Competitor
No,Yes,31.0,1,65.9,26.0,Kaggle Competitor
No,No,4.0,0,41.1,20.0,Kaggle Competitor
No,No,0.0,0,58.0,32.0,Kaggle Competitor
No,Yes,34.0,3,81.4,32.0,Kaggle Competitor
No,No,0.0,1,29.0,14.0,Kaggle Competitor
No,No,0.0,1,48.0,34.0,Kaggle Competitor
No,Yes,39.0,2,92.7,21.0,Kaggle Competitor
No,Yes,24.0,1,67.3,43.0,Kaggle Competitor
No,No,5.0,1,59.9,34.0,Kaggle Competitor
No,Yes,42.0,1,80.6,22.0,Kaggle Competitor
No,No,0.0,0,56.0,7.0,Kaggle Competitor
No,No,0.0,1,60.0,16.0,Kaggle Competitor
No,Yes,34.0,2,74.6,15.0,Kaggle Competitor
No,No,2.0,3,40.4,6.0,Kaggle Competitor
No,No,0.0,1,36.0,15.0,Kaggle Competitor
No,No,0.0,0,50.0,41.0,Kaggle Competitor
No,No,0.0,2,58.0,22.0,Kaggle Competitor
No,No,0.0,0,42.0,14.0,Kaggle Competitor
No,No,0.0,2,54.0,29.0,Kaggle Competitor
No,No,3.0,3,48.3,27.0,Kaggle Competitor
No,No,0.0,3,65.0,16.0,Kaggle Competitor
No,Yes,31.0,4,77.7,22.0,Kaggle Competitor
Yes,No,0.0,5,22.0,29.0,Kaggle Competitor
No,Yes,32.0,2,66.7,15.0,Kaggle Competitor
No,No,2.0,2,55.4,4.0,Kaggle Competitor
No,No,0.0,3,66.0,39.0,Kaggle Competitor
No,No,0.0,1,60.0,17.0,Kaggle Competitor
No,No,0.0,1,33.0,24.0,Kaggle Competitor
No,No,2.0,2,67.9,21.0,Kaggle Competitor
No,No,3.0,1,44.7,38.0,Kaggle Competitor
No,No,0.0,1,56.0,12.0,Kaggle Competitor
No,No,0.0,0,39.0,25.0,Kaggle Competitor
No,No,4.0,1,41.5,30.0,Kaggle Competitor
No,No,0.0,2,53.0,18.0,Kaggle Competitor
No,No,3.0,0,43.2,22.0,Kaggle Competitor
No,Yes,31.0,1,89.7,27.0,Kaggle Competitor
No,Yes,22.0,1,67.4,27.0,Kaggle Competitor
No,No,0.0,0,41.0,18.0,Kaggle Competitor
Yes,No,4.0,2,74.3,48.0,Kaggle Competitor
Yes,Yes,45.0,4,104.3,30.0,Kaggle Competitor
No,No,0.0,0,30.0,14.0,Kaggle Competitor
No,Yes,42.0,3,79.4,12.0,Kaggle Competitor
No,No,0.0,2,59.0,14.0,Kaggle Competitor
No,No,0.0,3,53.0,22.0,Kaggle Competitor
No,No,0.0,2,40.0,24.0,Kaggle Competitor
No,No,0.0,1,48.0,36.0,Kaggle Competitor
No,Yes,39.0,1,68.7,15.0,Kaggle Competitor
No,No,0.0,2,49.0,28.0,Kaggle Competitor
No,No,0.0,3,49.0,9.0,Kaggle Competitor
No,No,0.0,3,50.0,24.0,Kaggle Competitor
No,No,0.0,3,58.0,23.0,Kaggle Competitor
No,No,0.0,1,55.0,23.0,Kaggle Competitor
No,No,0.0,0,56.0,33.0,Kaggle Competitor
No,Yes,35.0,1,76.9,19.0,Kaggle Competitor
No,Yes,39.0,1,71.9,20.0,Kaggle Competitor
Yes,No,0.0,2,58.0,16.0,Kaggle Competitor
No,No,0.0,3,46.0,21.0,Kaggle Competitor
No,No,4.0,0,45.1,21.0,Kaggle Competitor
No,No,0.0,3,50.0,28.0,Kaggle Competitor
Yes,No,0.0,1,66.0,31.0,Kaggle Competitor
No,No,5.0,0,52.0,24.0,Kaggle Competitor
No,No,0.0,3,45.0,19.0,Kaggle Competitor
No,Yes,33.0,1,71.5,29.0,Kaggle Competitor
No,No,0.0,1,47.0,15.0,Kaggle Competitor
No,No,4.0,2,49.2,8.0,Kaggle Competitor
No,No,0.0,2,26.0,20.0,Kaggle Competitor
No,No,0.0,1,57.0,15.0,Kaggle Competitor
No,No,0.0,3,56.0,28.0,Kaggle Competitor
No,Yes,31.0,2,73.9,29.0,Kaggle Competitor
No,Yes,43.0,4,102.9,24.0,Kaggle Competitor
No,Yes,39.0,0,93.1,10.0,Kaggle Competitor
Yes,No,0.0,0,65.0,21.0,Kaggle Competitor
No,Yes,36.0,1,88.7,14.0,Kaggle Competitor
No,No,3.0,3,55.5,23.0,Kaggle Competitor
No,No,0.0,0,48.0,12.0,Kaggle Competitor
No,No,0.0,1,50.0,21.0,Kaggle Competitor
Yes,No,0.0,5,41.0,32.0,Kaggle Competitor
No,Yes,29.0,2,69.3,25.0,Kaggle Competitor
No,No,4.0,3,33.1,25.0,Kaggle Competitor
No,No,4.0,0,28.1,49.0,Kaggle Competitor
No,No,0.0,1,47.0,17.0,Kaggle Competitor
No,No,0.0,0,45.0,32.0,Kaggle Competitor
Yes,No,0.0,2,35.0,32.0,Kaggle Competitor
No,No,3.0,1,61.5,8.0,Kaggle Competitor
No,No,0.0,3,54.0,20.0,Kaggle Competitor
Yes,No,0.0,0,57.0,25.0,Kaggle Competitor
No,No,0.0,0,33.0,5.0,Kaggle Competitor
No,Yes,36.0,0,49.0,25.0,Kaggle Competitor
No,No,0.0,0,50.0,12.0,Kaggle Competitor
No,No,0.0,4,49.0,22.0,Kaggle Competitor
No,Yes,38.0,2,81.9,27.0,Kaggle Competitor
Yes,Yes,45.0,4,74.5,8.0,Kaggle Competitor
No,No,0.0,4,50.0,24.0,Kaggle Competitor
No,No,0.0,3,55.0,19.0,Kaggle Competitor
No,Yes,31.0,0,65.7,20.0,Kaggle Competitor
No,No,3.0,0,50.8,22.0,Kaggle Competitor
No,Yes,46.0,4,85.1,24.0,Kaggle Competitor
No,No,0.0,1,39.0,25.0,Kaggle Competitor
No,No,3.0,1,38.9,26.0,Kaggle Competitor
Yes,No,0.0,1,26.0,21.0,Kaggle Competitor
No,No,0.0,1,47.0,14.0,Kaggle Competitor
No,Yes,22.0,1,64.1,6.0,Kaggle Competitor
No,No,0.0,1,36.0,35.0,Kaggle Competitor
No,No,0.0,1,43.0,27.0,Kaggle Competitor
No,No,6.0,1,53.1,18.0,Kaggle Competitor
No,No,0.0,2,62.0,36.0,Kaggle Competitor
No,Yes,37.0,1,88.8,26.0,Kaggle Competitor
No,Yes,27.0,4,77.7,26.0,Kaggle Competitor
No,No,0.0,3,38.0,27.0,Kaggle Competitor
No,Yes,15.0,0,40.2,15.0,Kaggle Competitor
No,No,0.0,2,43.0,27.0,Kaggle Competitor
No,No,0.0,0,55.0,23.0,Kaggle Competitor
No,No,0.0,1,39.0,27.0,Kaggle Competitor
No,Yes,26.0,3,78.6,11.0,Kaggle Competitor
No,No,0.0,3,53.0,32.0,Kaggle Competitor
No,Yes,32.0,1,70.0,21.0,Kaggle Competitor
No,No,0.0,3,58.0,19.0,Kaggle Competitor
No,No,0.0,0,55.0,34.0,Kaggle Competitor
Yes,Yes,21.0,2,60.6,33.0,Kaggle Competitor
No,Yes,35.0,2,81.4,30.0,Kaggle Competitor
No,No,0.0,3,54.0,34.0,Kaggle Competitor
No,No,5.0,2,49.2,33.0,Kaggle Competitor
No,No,2.0,2,53.3,19.0,Kaggle Competitor
No,Yes,39.0,1,82.9,11.0,Kaggle Competitor
No,Yes,29.0,1,87.3,20.0,Kaggle Competitor
No,No,0.0,3,50.0,16.0,Kaggle Competitor
No,Yes,51.0,2,83.1,33.0,Kaggle Competitor
No,No,0.0,2,46.0,32.0,Kaggle Competitor
No,No,3.0,2,55.7,32.0,Kaggle Competitor
No,No,0.0,0,47.0,38.0,Kaggle Competitor
Yes,No,0.0,1,74.0,20.0,Kaggle Competitor
No,Yes,26.0,0,79.6,46.0,Kaggle Competitor
No,No,0.0,0,28.0,30.0,Kaggle Competitor
No,No,0.0,1,47.0,22.0,Kaggle Competitor
Yes,Yes,33.0,5,67.8,22.0,Kaggle Competitor
No,Yes,32.0,1,67.5,22.0,Kaggle Competitor
No,No,3.0,1,52.9,38.0,Kaggle Competitor
No,No,2.0,2,38.0,17.0,Kaggle Competitor
No,No,4.0,0,46.4,8.0,Kaggle Competitor
No,No,0.0,4,56.0,26.0,Kaggle Competitor
No,No,0.0,1,48.0,22.0,Kaggle Competitor
No,No,0.0,2,39.0,15.0,Kaggle Competitor
Yes,No,3.0,1,70.6,29.0,Kaggle Competitor
Yes,No,0.0,0,59.0,28.0,Kaggle Competitor
No,No,0.0,1,52.0,36.0,Kaggle Competitor
No,No,4.0,1,41.4,31.0,Kaggle Competitor
No,No,0.0,2,61.0,45.0,Kaggle Competitor
Yes,No,0.0,1,70.0,26.0,Kaggle Competitor
Yes,No,0.0,4,69.0,28.0,Kaggle Competitor
No,No,3.0,0,52.9,26.0,Kaggle Competitor
No,No,0.0,3,61.0,48.0,Kaggle Competitor
Yes,No,0.0,1,61.0,14.0,Kaggle Competitor
No,Yes,31.0,1,83.2,25.0,Kaggle Competitor
No,No,0.0,0,50.0,4.0,Kaggle Competitor
No,No,0.0,0,40.0,17.0,Kaggle Competitor
No,No,0.0,0,39.0,29.0,Kaggle Competitor
No,No,3.0,1,39.3,9.0,Kaggle Competitor
No,Yes,25.0,2,64.8,24.0,Kaggle Competitor
No,Yes,25.0,3,62.5,27.0,Kaggle Competitor
No,Yes,16.0,3,71.5,40.0,Kaggle Competitor
Yes,Yes,30.0,2,80.4,29.0,Kaggle Competitor
No,No,0.0,0,52.0,20.0,Kaggle Competitor
No,Yes,42.0,1,71.8,26.0,Kaggle Competitor
No,No,0.0,0,46.0,24.0,Kaggle Competitor
No,No,0.0,1,36.0,34.0,Kaggle Competitor
No,No,0.0,3,49.0,30.0,Kaggle Competitor
No,Yes,23.0,0,48.2,23.0,Kaggle Competitor
No,Yes,37.0,1,60.8,28.0,Kaggle Competitor
No,Yes,31.0,1,86.7,33.0,Kaggle Competitor
No,No,0.0,0,53.0,17.0,Kaggle Competitor
No,No,2.0,0,57.4,36.0,Kaggle Competitor
No,No,3.0,3,62.4,27.0,Kaggle Competitor
Yes,No,0.0,1,68.0,12.0,Kaggle Competitor
Yes,No,4.0,7,42.0,20.0,Kaggle Competitor
No,No,0.0,0,52.0,25.0,Kaggle Competitor
No,No,0.0,1,48.0,15.0,Kaggle Competitor
No,Yes,28.0,1,72.2,35.0,Kaggle Competitor
No,No,0.0,0,52.0,23.0,Kaggle Competitor
No,No,0.0,2,49.0,13.0,Kaggle Competitor
No,No,0.0,2,63.0,18.0,Kaggle Competitor
No,No,0.0,0,56.0,18.0,Kaggle Competitor
Yes,No,0.0,1,52.0,20.0,Kaggle Competitor
No,No,0.0,1,54.0,23.0,Kaggle Competitor
No,Yes,45.0,0,89.8,10.0,Kaggle Competitor
No,Yes,0.0,2,26.0,23.0,Kaggle Competitor
No,Yes,43.0,1,69.9,15.0,Kaggle Competitor
No,No,0.0,3,60.0,32.0,Kaggle Competitor
No,Yes,39.0,1,70.9,19.0,Kaggle Competitor
No,No,0.0,1,51.0,37.0,Kaggle Competitor
No,Yes,42.0,3,76.4,19.0,Kaggle Competitor
Yes,No,4.0,4,31.4,23.0,Kaggle Competitor
No,No,6.0,4,54.1,14.0,Kaggle Competitor
No,Yes,33.0,4,85.3,41.0,Kaggle Competitor
No,No,0.0,1,41.0,18.0,Kaggle Competitor
No,No,0.0,2,49.0,27.0,Kaggle Competitor
Yes,No,2.0,2,60.8,15.0,Kaggle Competitor
No,No,3.0,1,37.8,7.0,Kaggle Competitor
No,No,0.0,1,58.0,29.0,Kaggle Competitor
No,Yes,28.0,2,66.0,28.0,Kaggle Competitor
No,Yes,30.0,1,68.8,9.0,Kaggle Competitor
No,Yes,19.0,1,64.7,21.0,Kaggle Competitor
Yes,No,5.0,1,75.4,37.0,Kaggle Competitor
No,No,0.0,0,37.0,34.0,Kaggle Competitor
No,Yes,39.0,1,76.4,9.0,Kaggle Competitor
No,No,2.0,2,49.4,18.0,Kaggle Competitor
No,No,0.0,0,46.0,45.0,Kaggle Competitor
Yes,No,0.0,1,79.0,35.0,Kaggle Competitor
No,No,0.0,4,56.0,26.0,Kaggle Competitor
No,No,0.0,1,35.0,10.0,Kaggle Competitor
No,No,3.0,1,36.2,30.0,Kaggle Competitor
No,No,3.0,0,59.8,29.0,Kaggle Competitor
No,No,5.0,1,58.2,31.0,Kaggle Competitor
No,No,0.0,2,53.0,13.0,Kaggle Competitor
Yes,No,3.0,0,49.9,35.0,Kaggle Competitor
No,No,0.0,2,48.0,7.0,Kaggle Competitor
No,No,0.0,2,49.0,21.0,Kaggle Competitor
No,Yes,34.0,0,80.6,20.0,Kaggle Competitor
No,No,5.0,2,44.3,32.0,Kaggle Competitor
No,No,0.0,1,54.0,18.0,Kaggle Competitor
Yes,No,0.0,1,53.0,22.0,Kaggle Competitor
No,No,4.0,2,55.3,29.0,Kaggle Competitor
No,No,0.0,3,58.0,32.0,Kaggle Competitor
No,No,0.0,1,39.0,22.0,Kaggle Competitor
No,No,2.0,0,44.8,34.0,Kaggle Competitor
No,Yes,12.0,1,71.0,27.0,Kaggle Competitor
No,No,0.0,2,49.0,19.0,Kaggle Competitor
No,No,5.0,4,62.5,32.0,Kaggle Competitor
No,No,0.0,3,49.0,23.0,Kaggle Competitor
No,No,0.0,1,54.0,12.0,Kaggle Competitor
No,No,0.0,1,41.0,20.0,Kaggle Competitor
No,No,4.0,3,45.6,35.0,Kaggle Competitor
No,No,0.0,1,50.0,10.0,Kaggle Competitor
No,No,0.0,0,40.0,8.0,Kaggle Competitor
No,No,0.0,5,51.0,23.0,Kaggle Competitor
No,No,3.0,2,57.7,26.0,Kaggle Competitor
Yes,No,0.0,0,57.0,4.0,Kaggle Competitor
No,Yes,31.0,0,82.2,23.0,Kaggle Competitor
No,No,0.0,0,41.0,19.0,Kaggle Competitor
Yes,No,2.0,1,65.8,22.0,Kaggle Competitor
No,No,0.0,1,42.0,19.0,Kaggle Competitor
Yes,No,0.0,1,48.0,15.0,Kaggle Competitor
No,Yes,39.0,1,72.4,23.0,Kaggle Competitor
No,No,0.0,0,48.0,17.0,Kaggle Competitor
No,Yes,32.0,1,68.7,22.0,Kaggle Competitor
No,No,4.0,1,55.4,27.0,Kaggle Competitor
No,No,0.0,4,52.0,17.0,Kaggle Competitor
No,No,0.0,0,59.0,21.0,Kaggle Competitor
No,No,0.0,0,35.0,5.0,Kaggle Competitor
Yes,No,3.0,4,45.9,28.0,Kaggle Competitor
No,No,0.0,1,43.0,31.0,Kaggle Competitor
No,No,0.0,2,49.0,33.0,Kaggle Competitor
No,No,3.0,2,45.6,6.0,Kaggle Competitor
No,No,3.0,2,35.8,15.0,Kaggle Competitor
No,No,2.0,0,67.0,20.0,Kaggle Competitor
No,No,0.0,3,61.0,29.0,Kaggle Competitor
No,No,0.0,0,40.0,17.0,Kaggle Competitor
Yes,No,0.0,2,65.0,26.0,Kaggle Competitor
Yes,No,3.0,1,45.6,52.0,Kaggle Competitor
No,No,0.0,0,56.0,27.0,Kaggle Competitor
No,Yes,52.0,1,84.2,29.0,Kaggle Competitor
No,No,0.0,2,60.0,26.0,Kaggle Competitor
No,Yes,30.0,2,83.1,32.0,Kaggle Competitor
No,No,0.0,1,60.0,12.0,Kaggle Competitor
No,No,0.0,0,59.0,23.0,Kaggle Competitor
No,Yes,33.0,3,82.8,22.0,Kaggle Competitor
No,Yes,37.0,1,79.5,26.0,Kaggle Competitor
No,No,5.0,1,52.9,30.0,Kaggle Competitor
No,No,0.0,1,31.0,38.0,Kaggle Competitor
No,Yes,31.0,1,62.9,15.0,Kaggle Competitor
No,No,0.0,3,47.0,32.0,Kaggle Competitor
No,No,0.0,2,44.0,11.0,Kaggle Competitor
Yes,No,0.0,2,65.0,11.0,Kaggle Competitor
No,No,5.0,1,58.9,34.0,Kaggle Competitor
No,No,0.0,1,57.0,26.0,Kaggle Competitor
No,No,0.0,2,42.0,18.0,Kaggle Competitor
No,Yes,28.0,0,90.2,14.0,Kaggle Competitor
No,Yes,36.0,1,81.2,13.0,Kaggle Competitor
No,No,0.0,1,58.0,36.0,Kaggle Competitor
Yes,No,4.0,0,66.2,23.0,Kaggle Competitor
No,No,0.0,1,55.0,26.0,Kaggle Competitor
No,No,0.0,2,43.0,19.0,Kaggle Competitor
No,Yes,40.0,1,93.2,31.0,Kaggle Competitor
No,No,0.0,0,49.0,23.0,Kaggle Competitor
No,Yes,22.0,1,60.4,14.0,Kaggle Competitor
No,No,0.0,1,58.0,31.0,Kaggle Competitor
No,No,0.0,2,45.0,20.0,Kaggle Competitor
No,No,4.0,0,35.1,16.0,Kaggle Competitor
No,No,0.0,3,44.0,20.0,Kaggle Competitor
No,No,0.0,2,61.0,13.0,Kaggle Competitor
No,No,4.0,1,41.4,17.0,Kaggle Competitor
No,Yes,20.0,4,80.0,18.0,Kaggle Competitor
No,No,3.0,0,47.5,20.0,Kaggle Competitor
No,Yes,32.0,0,86.5,20.0,Kaggle Competitor
No,No,0.0,0,47.0,21.0,Kaggle Competitor
No,Yes,46.0,1,96.6,34.0,Kaggle Competitor
Yes,No,0.0,1,67.0,22.0,Kaggle Competitor
Yes,No,0.0,1,66.0,20.0,Kaggle Competitor
No,No,0.0,2,33.0,14.0,Kaggle Competitor
No,No,2.0,2,51.6,12.0,Kaggle Competitor
No,Yes,19.0,3,68.2,3.0,Kaggle Competitor
No,No,0.0,0,42.0,25.0,Kaggle Competitor
No,No,0.0,1,64.0,21.0,Kaggle Competitor
No,No,0.0,3,45.0,26.0,Kaggle Competitor
No,Yes,33.0,1,55.3,33.0,Kaggle Competitor
No,No,0.0,0,40.0,21.0,Kaggle Competitor
No,Yes,28.0,0,75.0,24.0,Kaggle Competitor
Yes,No,0.0,3,45.0,16.0,Kaggle Competitor
Yes,Yes,34.0,3,82.4,30.0,Kaggle Competitor
No,No,5.0,1,49.8,26.0,Kaggle Competitor
No,Yes,36.0,3,57.0,20.0,Kaggle Competitor
No,Yes,56.0,2,101.4,9.0,Kaggle Competitor
No,No,0.0,1,55.0,10.0,Kaggle Competitor
No,No,0.0,3,34.0,18.0,Kaggle Competitor
No,No,0.0,1,24.0,34.0,Kaggle Competitor
Yes,Yes,20.0,4,60.7,17.0,Kaggle Competitor
No,Yes,48.0,0,97.0,32.0,Kaggle Competitor
No,No,0.0,3,38.0,17.0,Kaggle Competitor
No,No,3.0,1,60.9,12.0,Kaggle Competitor
No,Yes,25.0,3,60.5,32.0,Kaggle Competitor
No,No,0.0,1,40.0,32.0,Kaggle Competitor
No,No,0.0,2,46.0,23.0,Kaggle Competitor
No,No,3.0,1,55.1,38.0,Kaggle Competitor
No,No,0.0,1,42.0,29.0,Kaggle Competitor
No,No,0.0,0,42.0,17.0,Kaggle Competitor
