Churn,Techie,TechSupport,StreamingTV,StreamingMovies,Phone,Multiple,Tablet,DeviceProtection,OnlineSecurity,OnlineBackup,PaperlessBilling,Bandwidth_GB_Year
0,0,0,1,0,1,0,0,1,0,0,0,1840.628269
1,0,0,0,0,1,0,0,0,0,1,1,1324.330108
0,0,1,0,1,1,0,0,1,1,0,1,958.1397059
1,0,1,1,1,1,1,0,0,0,0,1,1868.864027
0,0,0,0,0,1,0,0,1,0,0,1,676.712908
0,0,1,0,1,1,0,1,0,1,1,1,1086.990308
0,0,1,1,0,1,1,0,1,0,0,0,704.7540406
1,0,0,0,1,1,0,0,0,1,1,1,1416.444695
0,0,0,0,0,1,0,1,1,0,0,0,1095.950634
0,1,0,0,1,1,0,1,1,0,0,1,1083.610268
0,0,0,1,0,1,1,0,1,0,1,0,1570.641337
1,0,1,1,1,1,1,0,1,0,0,1,1007.425553
1,0,0,1,1,1,0,0,0,0,0,0,1323.028419
0,0,0,1,0,1,1,1,0,1,0,0,1808.730555
1,1,0,1,1,1,0,0,1,0,0,1,1120.241472
1,0,1,1,1,1,0,1,0,1,1,0,2676.789803
1,1,1,1,1,1,1,0,0,0,1,1,1268.086909
0,0,0,0,0,1,0,0,0,0,1,1,822.6771666
1,0,1,1,1,1,0,0,1,0,1,1,1577.915603
1,0,0,0,1,1,1,0,1,0,1,0,648.7471776
1,0,1,1,1,1,1,1,1,1,1,1,1648.102673
1,0,1,1,1,0,0,0,1,0,0,1,768.0874545
0,0,0,0,1,1,0,0,0,0,1,0,2426.030626
1,0,0,1,1,1,1,1,0,0,0,1,2660.503932
0,0,0,0,0,1,0,1,1,1,0,1,1129.549713
1,0,0,1,1,1,0,0,0,0,0,0,1771.286466
0,1,1,0,0,1,1,0,1,0,0,0,943.3391244
0,0,1,0,1,1,1,0,0,0,0,0,1907.226083
0,0,1,0,0,1,0,1,1,1,0,1,1885.939118
0,0,1,0,0,1,1,0,1,1,1,0,631.7435653
0,0,0,1,0,1,0,0,0,1,0,1,562.6095219
0,1,1,0,0,1,0,0,0,0,1,1,593.8572264
1,0,0,1,1,1,1,0,0,0,0,0,777.3060718
1,0,0,1,1,1,0,0,0,0,0,1,1393.202392
0,0,0,0,0,1,0,1,0,0,1,1,393.6524652
1,0,0,0,1,1,1,0,1,0,0,1,409.7486664
1,0,0,1,1,0,0,1,1,0,1,1,2138.107161
0,0,1,0,1,1,0,0,0,1,0,1,443.984031
1,0,0,0,0,1,1,0,1,0,1,0,2481.385603
0,0,1,0,1,1,1,1,1,0,0,1,2233.567181
1,0,0,1,1,1,0,0,1,1,1,1,1158.91369
0,0,0,0,0,1,0,0,1,0,0,0,529.40733
1,0,1,1,0,1,0,0,1,1,1,0,1956.7337
0,0,1,0,0,1,0,0,1,1,1,1,2056.386979
0,0,0,1,0,1,1,0,1,0,0,1,1067.373076
1,0,1,1,1,0,0,0,1,0,1,1,1806.135733
0,0,0,1,0,1,1,0,1,0,0,1,1397.701335
1,0,0,1,1,1,1,1,1,0,0,1,808.4305471
0,0,0,0,1,1,0,0,0,0,1,1,1886.531937
1,0,0,1,0,0,1,0,1,0,1,1,2294.781131
1,0,0,1,0,1,1,0,1,0,1,0,826.3438621
1,0,0,1,1,1,1,0,0,1,1,0,2072.564168
1,0,1,1,0,1,1,1,0,0,1,1,1436.793746
1,0,1,0,1,0,1,0,0,0,0,0,1963.332683
1,0,1,1,0,1,1,0,1,0,0,1,1324.164906
0,0,0,1,0,1,0,0,0,0,0,1,704.9375603
1,0,0,0,1,1,1,1,1,0,0,1,888.6517305
1,0,1,0,1,1,0,0,0,0,0,0,377.0810282
0,0,0,0,0,1,0,0,0,0,0,1,1606.489936
1,1,1,1,0,1,0,0,0,1,1,1,1431.409396
0,1,0,1,0,1,0,0,0,1,1,0,2253.85247
0,1,0,0,0,1,1,1,1,0,0,1,1353.29384
0,0,0,1,1,1,1,1,1,0,1,1,1701.457566
1,0,0,0,1,1,0,0,0,0,0,0,1290.737183
1,1,1,1,1,1,0,0,0,0,1,0,1403.270091
0,1,0,0,0,1,1,0,0,0,1,1,2603.903672
1,0,0,1,1,1,1,1,1,0,1,1,1256.287854
0,1,1,0,0,1,0,1,0,0,1,1,980.9935923
0,0,0,1,1,1,0,1,1,0,0,1,1347.869205
0,0,0,1,0,1,1,0,1,0,0,0,1127.267848
0,1,0,0,0,1,1,1,0,0,0,0,1269.836202
1,0,0,1,1,1,1,1,1,0,0,1,1038.745378
0,0,1,0,0,0,1,0,1,0,1,0,1531.155367
0,0,1,0,0,1,0,1,1,1,0,0,991.2441024
1,0,0,1,1,1,1,0,1,0,0,1,1244.296865
1,0,0,0,1,1,0,0,1,0,0,1,1162.332926
0,0,1,0,1,1,0,0,0,0,0,1,577.1157824
1,0,1,1,0,1,1,0,0,0,1,0,1442.974877
1,0,0,1,1,1,1,0,1,0,0,1,1577.208717
0,0,0,0,0,1,0,0,0,0,0,1,886.9398744
0,0,0,0,0,1,1,0,1,0,1,1,1065.06443
0,0,0,0,1,1,1,1,0,0,1,1,951.886985
0,0,1,1,0,1,1,0,1,0,1,1,1404.435534
1,0,0,1,1,0,1,0,1,1,0,1,1925.911722
1,1,1,1,0,1,1,1,1,0,0,0,1805.011298
0,0,1,0,0,1,1,0,1,0,0,1,700.7343179
1,0,0,1,0,1,1,0,0,0,1,1,513.237305
0,0,0,0,1,1,0,1,1,0,1,0,717.3876564
0,0,0,0,1,1,0,1,1,0,0,0,1313.492851
1,0,0,0,1,1,0,0,0,0,1,1,819.4195269
1,0,1,1,0,1,1,0,1,0,1,0,882.1160656
1,0,1,1,1,1,0,1,0,0,1,1,724.7803356
0,0,1,0,0,0,0,0,0,0,0,1,1829.270014
1,0,0,1,1,1,1,0,0,0,1,0,1668.199119
1,0,1,0,1,1,0,1,0,1,1,0,1124.353152
1,0,1,0,1,1,1,0,0,1,0,0,1316.239744
0,0,1,1,1,1,0,0,0,0,0,1,1637.201426
0,1,0,1,0,1,0,1,0,1,1,0,951.8524406
1,0,0,0,1,1,1,1,0,1,1,1,1248.097652
0,0,0,0,1,1,1,0,1,1,1,1,2220.255405
0,0,1,1,1,1,0,0,0,0,0,0,1669.202417
1,1,1,1,1,1,0,0,0,0,0,1,990.0555076
0,1,1,1,0,1,0,1,0,1,1,1,967.9819136
1,0,0,1,1,1,1,0,1,0,0,1,2190.259876
0,0,1,0,0,1,0,0,1,1,1,0,1445.752781
1,0,0,0,1,1,0,0,1,1,0,0,528.6553088
1,0,0,1,0,1,1,0,1,0,0,1,1296.481055
0,0,0,1,0,1,0,0,0,0,1,1,1195.393037
1,1,1,1,1,1,0,0,1,0,0,0,1700.121992
1,0,1,1,1,1,0,0,1,1,0,0,2120.673828
0,0,1,0,1,1,0,0,0,0,0,0,1238.421347
0,0,1,1,0,1,0,0,0,0,0,1,847.110799
1,0,0,0,1,1,0,0,0,1,0,1,1112.937102
0,0,1,0,0,1,1,1,0,0,0,0,1623.045026
1,0,0,1,1,1,0,0,1,0,0,1,1479.730181
1,0,0,1,0,1,1,0,1,1,0,0,2144.735024
1,0,0,0,1,1,0,0,1,0,0,0,1522.289512
0,0,0,1,0,1,1,0,0,1,0,1,1974.780054
1,0,1,1,0,1,1,0,0,0,1,0,1261.177198
0,0,0,0,0,1,0,0,1,0,1,0,939.7181324
1,1,1,1,0,1,0,0,1,0,0,0,1357.062854
0,0,0,1,0,1,0,0,0,1,0,0,1456.887443
1,0,0,1,1,1,0,0,0,0,0,0,937.5863866
0,0,1,0,1,1,1,0,1,0,1,1,830.1193011
0,0,0,1,0,1,0,0,1,1,1,1,737.8564608
1,0,0,1,1,1,1,0,0,0,0,0,1781.854862
1,0,0,1,1,1,1,1,0,0,0,1,2464.577489
0,0,1,0,0,1,0,0,1,0,1,1,2392.203409
1,0,0,1,1,1,1,0,0,0,0,1,1664.19271
1,0,1,0,1,1,1,0,1,1,1,1,1433.616898
0,0,0,0,0,1,1,1,0,0,1,0,823.4933243
0,0,0,0,0,1,0,0,1,1,0,1,1468.357421
1,0,0,0,1,1,0,1,1,1,1,1,590.7765801
0,0,0,0,0,1,0,0,0,0,0,0,418.6206885
0,0,0,0,1,1,0,1,1,1,0,1,1181.991846
0,0,0,1,0,1,0,0,0,0,0,1,733.4036934
1,0,0,1,1,1,0,1,1,0,0,1,1719.173387
1,1,0,0,1,1,0,0,0,1,1,1,1205.956363
0,0,1,1,0,1,0,0,0,1,1,0,1261.032763
1,0,0,0,1,1,1,0,0,0,1,1,741.7766988
1,0,0,1,1,1,0,0,0,1,0,0,932.6084359
0,0,0,0,1,1,0,1,0,1,1,0,1708.614019
0,0,0,0,1,1,0,1,1,0,0,0,1363.58603
0,0,0,1,0,1,0,1,0,0,0,1,472.1057019
0,0,0,0,0,1,0,0,0,0,1,0,558.2340556
1,0,0,1,1,1,1,1,1,0,0,1,815.194738
1,0,1,0,1,1,1,1,1,0,1,1,2007.303617
1,0,0,1,1,1,1,0,0,0,1,0,2088.48083
0,0,0,1,0,1,0,0,0,0,1,0,1430.761492
0,0,0,1,0,1,0,1,0,1,1,1,822.3008694
1,0,0,1,1,1,1,0,0,0,0,0,2059.200998
0,0,0,1,0,1,0,0,1,1,1,1,617.542543
0,0,0,1,0,1,1,0,0,0,0,0,758.4775985
1,0,0,0,1,1,1,1,1,1,0,0,894.6733856
0,0,0,1,0,1,0,0,0,1,0,1,1639.898269
0,0,0,1,0,0,0,0,0,0,0,0,710.7541633
0,1,1,1,0,1,1,0,0,1,1,0,1092.226042
0,0,0,0,0,1,1,0,0,1,1,1,757.0097075
0,0,1,1,1,1,0,0,1,1,1,1,2301.850721
1,0,0,1,1,0,1,0,1,0,0,1,2401.406545
0,0,1,1,0,1,0,1,0,0,0,0,1535.788894
0,0,1,0,0,1,1,0,0,0,0,1,1536.589816
0,0,0,1,1,1,0,0,1,0,0,0,2153.778421
0,0,0,0,0,1,1,1,0,0,0,0,2409.195918
0,1,1,1,0,1,1,1,1,1,1,0,1342.862457
1,0,0,0,1,1,1,0,0,0,0,0,1046.054674
1,0,0,1,1,0,0,0,1,1,1,0,1204.479468
1,0,0,1,1,1,1,0,1,1,0,0,1616.908193
0,0,0,0,0,1,0,1,0,0,1,0,345.0099528
1,0,0,0,1,1,1,1,0,0,0,0,1427.088655
0,0,1,0,0,1,1,0,0,1,0,1,1452.334634
1,0,0,0,1,1,1,1,0,0,0,0,795.4957358
0,0,0,0,0,0,0,1,1,0,1,1,1333.894229
1,0,0,1,1,1,1,0,1,0,0,0,1402.20491
1,0,1,0,0,1,1,1,1,1,1,1,1447.196935
1,1,1,1,1,1,1,1,1,0,1,1,1662.510936
0,0,0,0,1,1,0,1,0,1,0,0,1707.641161
1,0,0,1,1,1,1,0,0,0,0,1,2181.752793
0,0,0,0,0,1,1,0,1,0,0,0,1575.683555
0,0,1,0,1,1,0,0,0,0,0,0,1029.489242
0,1,0,1,0,1,0,0,1,0,1,1,2370.184448
1,0,0,1,1,1,1,0,1,0,1,1,3309.919373
1,0,0,0,1,1,1,0,1,0,1,1,1623.273925
0,1,1,0,0,1,1,0,0,0,1,1,1146.199921
1,1,1,1,0,0,1,1,1,0,0,1,2229.268031
0,0,0,1,1,1,0,0,0,0,0,0,2512.36494
0,0,0,0,1,1,0,1,0,0,1,1,1297.388488
0,0,0,0,0,1,1,0,0,1,0,0,283.39178
1,1,0,1,0,1,1,1,0,1,0,0,1947.7853
1,0,0,1,1,1,0,0,0,0,0,1,849.1972541
0,0,0,0,0,1,1,0,1,0,1,0,2131.359827
0,1,1,1,1,1,0,0,0,0,0,1,1464.035068
0,0,0,0,0,1,1,0,0,1,1,1,1381.538548
0,0,0,0,0,1,1,0,0,0,1,0,1248.626874
0,1,0,0,1,1,0,1,0,0,0,0,558.3751762
0,0,1,1,0,1,1,0,1,1,0,0,676.2178659
0,0,1,0,0,1,1,0,1,1,1,1,1641.938696
1,0,0,1,1,1,0,0,1,0,1,0,1811.964373
1,0,1,0,0,1,1,0,0,0,1,0,1066.632555
1,0,0,1,1,0,0,0,1,1,0,1,1514.131966
1,0,0,1,1,1,0,0,1,1,0,0,1189.549671
0,0,0,0,0,1,0,0,0,0,1,1,1114.020282
0,0,1,0,0,1,0,0,1,1,1,1,1078.291303
0,1,0,0,0,1,0,1,1,0,1,1,854.2977548
1,0,1,1,1,1,1,1,0,0,0,1,1489.077486
1,0,0,1,1,1,0,0,1,0,1,1,1649.312808
1,0,0,0,1,0,1,1,0,0,1,1,905.1959227
0,0,1,0,0,1,1,0,0,0,0,1,684.6318529
0,0,1,1,0,1,1,0,1,0,0,0,1662.533055
1,0,0,1,1,0,0,0,1,1,1,1,2436.57146
1,0,0,1,1,1,1,0,1,0,1,0,2677.74041
1,0,1,1,1,1,1,1,1,0,1,0,1779.309609
1,0,0,1,1,1,0,0,0,1,0,0,1494.716409
1,0,0,1,1,0,1,0,0,0,0,0,1740.72604
1,0,1,0,1,1,1,0,1,1,1,1,704.7552669
0,0,1,0,1,1,1,0,0,1,0,0,558.4710883
1,0,0,1,1,1,0,0,0,0,0,1,1282.279049
1,0,0,0,0,1,1,0,0,1,0,0,287.8189836
0,0,0,0,0,1,1,1,0,0,1,1,1129.529441
0,0,0,0,0,1,1,0,1,0,0,0,394.0148722
0,0,1,1,1,1,1,0,0,1,0,1,1302.230824
0,0,0,1,0,1,0,1,0,0,0,1,970.4682919
0,0,1,1,1,1,0,0,1,1,0,1,2522.88913
1,0,1,0,0,1,0,0,0,0,1,1,682.9871863
1,1,0,1,1,1,1,0,1,0,0,0,1537.109931
1,0,0,1,0,1,0,0,0,0,0,1,1961.923965
0,0,1,1,0,1,0,1,0,0,0,1,676.1747964
1,0,0,1,1,1,1,0,0,1,0,1,929.2607767
1,1,0,1,1,1,0,0,0,0,0,0,1849.484087
1,1,0,1,1,1,1,0,0,1,1,1,1998.680227
0,0,1,0,1,1,1,0,0,0,0,1,1898.877878
1,0,0,0,1,1,1,0,0,0,0,0,992.3501481
0,1,1,0,0,1,0,0,1,0,0,1,994.6354785
1,0,1,1,1,1,0,0,0,1,1,1,954.0290712
0,0,0,1,0,1,0,0,0,0,0,0,1775.838153
1,0,1,0,1,1,1,1,1,1,1,1,1297.050577
0,0,0,0,0,1,1,0,0,1,1,1,1746.405243
0,0,1,0,1,1,1,0,0,1,1,1,1698.465833
1,0,1,0,0,1,1,0,1,0,0,1,665.4740915
1,0,1,0,1,1,1,1,1,0,1,1,1886.153328
0,0,0,0,0,1,1,0,1,1,0,1,958.6989908
0,0,0,0,0,1,1,0,0,1,0,1,1446.203986
0,0,0,0,1,1,0,0,1,0,0,1,774.6125757
0,0,0,1,0,1,0,0,1,0,1,0,1939.811149
1,1,0,1,1,1,0,1,1,0,0,1,1165.564309
0,0,1,0,1,1,1,0,0,0,1,0,750.8768234
0,1,1,0,1,1,0,0,1,0,0,0,1292.3206
1,1,1,1,1,0,1,0,1,1,1,0,2335.130986
1,0,0,0,1,1,1,0,0,0,1,1,769.8534863
0,0,1,0,1,1,0,0,1,0,0,1,1729.837284
1,0,0,1,0,1,1,1,0,0,0,1,649.3891796
0,0,0,1,0,1,0,0,0,0,0,0,823.0046464
0,0,1,0,1,1,0,0,1,0,1,0,1107.882056
0,0,1,0,1,0,0,0,1,0,0,1,683.8622599
0,0,1,1,0,1,0,1,1,1,0,1,1301.49424
0,0,0,0,0,1,0,0,1,0,1,1,1079.012505
1,1,0,0,1,1,1,0,0,1,1,1,1283.463995
0,0,0,0,0,1,0,0,1,0,0,0,987.653655
0,0,1,0,1,1,0,1,1,1,0,1,1088.263081
0,0,1,0,0,1,0,0,0,0,0,0,583.0259559
0,0,0,0,1,1,0,0,1,0,0,0,1778.733282
1,0,0,0,1,1,1,1,1,0,0,0,900.4043765
1,0,1,1,1,1,0,1,0,0,0,0,1693.576099
1,1,0,1,1,1,0,1,0,1,1,1,1143.826239
0,0,0,1,1,1,1,0,0,1,0,0,886.340074
0,0,0,0,0,1,0,0,0,1,0,1,373.2772664
0,0,1,0,0,1,0,1,0,1,1,0,1245.328696
1,0,0,1,0,0,1,0,1,1,0,1,1564.936841
0,0,0,1,0,1,0,0,1,1,0,1,1354.401018
1,0,0,1,1,1,0,0,0,1,0,1,1971.429689
0,1,1,0,0,1,0,0,0,0,0,1,623.7865683
1,1,0,1,1,1,1,0,0,0,0,1,3040.553763
1,0,0,0,0,1,0,0,1,1,0,0,864.7036995
0,0,0,0,1,1,1,0,0,0,1,0,2042.113893
1,0,0,1,1,1,1,0,1,1,0,1,1973.661316
1,0,0,1,1,1,0,0,1,0,0,1,1755.645123
1,0,0,1,1,1,1,1,0,0,1,0,1758.735654
1,1,1,1,0,1,1,0,0,1,0,0,557.0118807
0,0,1,1,1,1,0,0,0,1,0,0,2205.334092
0,0,0,0,0,1,1,1,0,1,0,1,1451.201108
0,1,1,0,0,1,0,0,1,0,1,0,609.0598401
1,0,0,0,0,1,1,0,0,0,0,1,1221.100604
1,1,1,1,1,1,1,0,0,0,0,1,745.0493094
0,0,0,0,0,1,0,0,1,0,0,0,1220.452161
1,0,0,0,1,1,1,1,0,1,1,1,1771.472597
1,0,0,1,1,1,0,0,1,1,1,0,1201.484293
0,0,0,0,0,1,0,1,1,1,0,1,764.3017535
0,1,0,0,1,1,0,1,0,0,1,0,1022.415622
1,0,1,0,1,1,1,1,1,0,1,0,1284.442486
0,0,1,0,0,0,0,1,0,0,1,1,289.9240291
1,0,0,1,1,1,1,0,1,0,0,1,1718.600163
0,0,1,1,1,1,0,0,0,1,1,1,2494.633068
1,0,1,1,1,1,0,0,1,0,0,1,2270.749222
1,0,1,1,0,0,1,0,0,1,0,0,567.6177123
1,0,0,0,0,1,0,0,0,0,1,1,380.0501404
1,0,0,1,1,1,0,0,1,0,0,1,1436.408211
0,0,1,0,1,1,1,0,0,1,1,1,1852.503069
0,0,1,0,1,1,1,0,0,0,0,1,1312.008382
1,0,1,1,0,1,0,1,1,0,0,0,863.0820861
1,0,1,1,1,1,0,0,1,0,1,0,1854.793303
0,0,0,0,0,1,0,0,0,0,1,0,1778.431765
1,0,1,0,1,1,0,0,0,0,1,1,764.2419259
0,0,1,0,0,1,0,1,0,1,0,0,307.018806
1,0,1,0,1,1,1,0,0,0,0,0,1179.782483
0,0,0,1,1,1,0,0,0,1,0,0,1040.034575
0,0,0,1,1,1,1,0,0,0,0,1,1080.159892
1,0,1,1,1,1,0,0,0,0,0,1,775.5613336
0,0,0,1,0,1,1,0,0,0,0,1,1061.587971
1,0,0,0,1,1,0,0,1,0,0,0,1334.403775
0,0,0,0,1,1,1,0,0,1,0,0,2346.143947
0,0,1,0,0,1,0,0,0,1,1,1,1491.768656
1,1,0,0,0,1,1,1,0,0,0,0,927.1279646
0,0,0,0,1,1,0,0,1,0,0,1,686.9354616
0,0,1,1,0,1,0,1,1,0,0,1,1460.513443
1,0,1,1,0,0,0,0,0,1,1,0,1942.250203
0,0,1,1,0,1,1,1,1,0,0,1,1923.549943
0,0,1,0,0,1,1,0,1,0,1,0,1239.802036
0,0,0,1,0,1,0,0,0,1,1,1,2499.186161
0,0,0,1,0,1,0,0,0,1,0,1,302.3848209
1,0,0,0,1,1,0,0,1,1,0,1,1865.48625
1,0,1,1,0,1,1,1,1,1,0,1,908.7910203
0,0,0,0,0,1,1,1,1,0,0,1,790.9469893
1,0,1,0,0,1,1,1,0,1,0,1,956.2636975
0,0,0,0,0,1,0,0,0,0,0,0,639.3261343
1,0,0,1,1,1,0,1,0,1,1,1,1572.045646
0,1,0,0,1,1,0,0,1,0,1,1,3099.922244
1,1,0,0,1,1,1,0,0,0,0,0,1599.727567
0,0,0,1,1,1,0,1,1,1,1,0,2188.672399
0,0,1,0,0,1,0,0,0,1,1,0,1586.699491
1,0,1,1,0,1,0,1,1,0,1,1,1828.279015
0,1,0,0,0,1,0,0,0,0,0,1,1866.966586
0,0,0,1,0,1,1,1,0,0,0,1,1718.555203
1,0,0,0,0,1,1,1,0,0,1,1,556.2193844
1,0,1,0,1,1,1,0,1,1,1,0,1035.183038
1,0,1,0,1,1,0,0,0,1,1,1,1580.43019
1,0,0,0,1,1,0,1,1,1,0,0,703.6927423
1,0,0,1,1,1,1,0,0,0,1,0,1842.258692
1,0,0,1,1,1,0,0,1,1,0,1,1167.271182
1,0,1,1,0,0,1,1,1,1,1,0,1007.289786
1,0,1,1,1,1,0,0,1,0,0,1,1500.69101
0,0,1,0,0,1,0,1,0,0,0,1,1404.773397
1,0,0,1,1,1,1,0,1,0,0,1,1342.310858
0,1,0,1,0,1,0,0,1,1,1,1,1250.94478
1,0,1,1,1,1,1,1,0,1,1,1,1710.958869
0,0,0,0,0,1,0,0,0,0,0,1,169.3992798
1,0,1,1,1,1,0,1,0,0,0,1,1261.554565
1,1,1,0,1,1,0,0,0,0,0,0,794.9581116
0,0,0,0,1,1,0,0,1,1,1,1,713.364269
1,0,1,1,1,1,0,1,0,0,1,1,952.5914921
0,1,1,0,1,1,0,0,0,1,0,1,778.6094503
0,0,0,0,0,1,1,0,1,1,0,1,627.0001275
0,0,1,0,0,1,0,0,0,1,0,1,2938.319116
0,0,0,1,0,1,0,0,0,1,1,0,1566.001524
0,0,0,1,0,1,0,1,1,0,1,1,1889.642423
0,0,0,1,1,1,1,1,1,1,0,1,1420.771651
1,0,1,0,1,1,1,0,1,0,0,0,1254.725693
1,0,1,0,0,1,1,0,1,1,1,1,1570.345219
0,1,0,0,0,1,0,0,0,0,0,1,500.4406927
0,1,0,1,0,1,1,0,0,1,1,1,1563.848623
0,0,1,1,0,1,0,0,0,0,1,0,787.0962355
0,0,1,1,1,1,0,0,1,0,0,0,1119.610001
0,0,1,0,0,1,0,1,0,0,1,1,1155.782468
0,0,0,0,0,1,1,0,0,1,0,1,1995.346628
0,0,1,0,1,1,1,0,1,1,0,0,922.1362066
0,0,0,0,1,1,0,0,0,0,1,1,717.6823944
0,1,0,1,0,1,0,0,1,0,1,1,2223.835601
0,0,0,0,1,1,0,0,1,0,1,0,1143.685617
1,1,0,1,1,1,0,0,1,0,0,1,1537.296207
1,0,0,0,1,1,0,0,1,0,1,0,1614.544362
0,0,0,0,0,1,0,0,1,0,0,1,758.8338668
1,0,0,1,1,0,0,0,0,0,1,0,1317.766231
0,0,0,0,0,1,0,0,1,0,1,0,1189.578203
0,0,0,0,1,1,0,0,1,1,0,0,1467.273158
0,0,0,1,0,1,0,0,1,1,0,1,2192.693797
0,0,1,0,0,1,0,0,1,0,0,1,1568.47416
0,0,0,0,1,1,0,0,0,0,0,1,1376.095043
1,0,0,0,1,1,0,1,1,1,1,1,811.5600648
0,0,0,0,0,1,0,0,0,0,1,0,243.2617759
1,0,0,0,1,1,1,1,1,0,1,1,676.6465414
1,0,0,0,1,0,1,0,1,0,0,1,801.4709595
1,1,0,1,0,1,0,0,1,0,0,0,1316.145864
0,0,0,0,0,1,0,1,1,1,0,1,1270.217581
1,0,0,1,1,1,1,0,1,1,1,0,1339.709597
0,0,0,1,0,1,1,0,0,0,0,0,1624.799349
0,0,1,0,1,1,1,1,1,1,0,1,1400.834009
1,0,0,1,1,1,0,1,1,1,1,0,1149.108155
0,0,0,0,0,1,1,0,0,1,0,1,1387.016004
1,1,0,1,0,0,1,1,1,0,0,1,544.12326
1,0,1,1,1,0,1,0,1,0,1,0,1803.917571
0,0,0,0,0,1,0,1,0,1,1,0,1518.747945
1,0,0,0,1,1,0,0,1,1,1,0,1932.20577
1,0,0,1,1,0,1,0,0,0,0,0,1886.312286
0,0,0,0,0,1,1,0,0,0,0,1,1738.71901
1,0,0,0,1,1,0,0,0,0,0,1,1060.026737
0,0,1,0,0,0,1,1,1,0,0,1,250.9270047
0,0,1,0,0,0,1,0,1,0,0,1,1916.832871
0,0,0,0,0,1,1,0,1,0,1,1,573.9920618
0,0,0,0,0,1,0,0,0,0,1,0,272.9823095
0,0,0,1,0,1,1,1,0,0,1,1,1233.975771
0,0,0,1,0,1,1,0,0,0,1,1,1552.772876
1,0,0,1,1,1,0,0,1,1,1,1,1259.735294
1,0,0,1,1,1,0,0,0,0,0,1,1287.821218
0,0,0,0,1,1,0,1,1,0,0,0,1516.667438
0,0,0,0,0,1,1,0,0,0,0,1,589.9932647
0,0,1,0,0,1,1,1,0,0,1,1,1021.482609
1,0,1,1,1,1,1,0,0,0,0,1,1267.634616
