Churn,Techie,TechSupport,StreamingTV,StreamingMovies,Phone,Multiple,Tablet,DeviceProtection,OnlineSecurity,OnlineBackup,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year
0,0,0,1,0,1,0,0,1,0,1,1,172.457857,1310.137419
0,0,1,0,0,1,0,0,0,1,0,1,107.481989,892.8964931
1,0,1,1,1,1,1,0,0,1,0,0,255.141716,1125.581944
0,0,1,0,1,1,1,1,0,0,0,1,192.456745,2016.710031
1,0,0,1,1,1,1,0,0,1,0,1,242.632554,1412.736809
1,0,0,1,1,1,1,1,1,1,1,1,245.174977,1710.689671
1,0,1,0,1,1,0,0,0,1,1,1,184.964681,2384.885909
1,1,1,0,0,1,1,0,1,1,1,1,195.006206,1213.940165
0,0,0,1,0,1,0,0,0,0,0,0,104.962874,740.010722
0,0,1,0,0,1,0,1,0,0,0,1,92.488023,897.9716153
1,0,1,0,1,1,1,0,1,0,0,0,184.979684,1026.387172
1,0,0,1,1,1,0,0,1,0,0,1,187.656013,1234.244324
0,0,0,1,0,1,0,0,1,0,0,1,149.962093,727.3731845
1,1,0,1,0,1,1,0,0,0,0,1,169.944668,452.8721504
1,0,0,0,0,1,1,0,1,1,0,1,160.00128,1296.674543
0,0,0,1,0,1,0,0,1,0,0,0,129.962093,1840.628269
1,0,0,0,0,1,0,0,0,0,1,1,114.950905,1324.330108
0,0,1,0,1,1,0,0,1,1,0,1,142.515576,958.1397059
1,0,1,1,1,1,1,0,0,0,0,1,220.14775,1868.864027
0,0,0,0,0,1,0,0,1,0,0,1,124.97808,676.712908
0,0,1,0,1,1,0,1,0,1,1,1,164.964681,1086.990308
0,0,1,1,0,1,1,0,1,0,0,0,194.976769,704.7540406
1,0,0,0,1,1,0,0,0,1,1,1,152.455519,1416.444695
0,0,0,0,0,1,0,1,1,0,0,0,92.5018,1095.950634
0,1,0,0,1,1,0,1,1,0,0,1,127.488728,1083.610268
0,0,0,1,0,1,1,0,1,0,1,0,184.963371,1570.641337
1,0,1,1,1,1,1,0,1,0,0,1,265.146969,1007.425553
1,0,0,1,1,1,0,0,0,0,0,0,207.609354,1323.028419
0,0,0,1,0,1,1,1,0,1,0,0,152.462354,1808.730555
1,1,0,1,1,1,0,0,1,0,0,1,200.132293,1120.241472
1,0,1,1,1,1,0,1,0,1,1,0,212.655686,2676.789803
1,1,1,1,1,1,1,0,0,0,1,1,255.119794,1268.086909
0,0,0,0,0,1,0,0,0,0,1,1,134.950905,822.6771666
1,0,1,1,1,1,0,0,1,0,1,1,255.137219,1577.915603
1,0,0,0,1,1,1,0,1,0,1,0,214.966286,648.7471776
1,0,1,1,1,1,1,1,1,1,1,1,270.160419,1648.102673
1,0,1,1,1,0,0,0,1,0,0,1,200.165175,768.0874545
0,0,0,0,1,1,0,0,0,0,1,0,149.937833,2426.030626
1,0,0,1,1,1,1,1,0,0,0,1,240.114868,2660.503932
0,0,0,0,0,1,0,1,1,1,0,1,127.495766,1129.549713
1,0,0,1,1,1,0,0,0,0,0,0,187.609354,1771.286466
0,1,1,0,0,1,1,0,1,0,0,0,169.992756,943.3391244
0,0,1,0,1,1,1,0,0,0,0,0,192.456745,1907.226083
0,0,1,0,0,1,0,1,1,1,0,1,120.004928,1885.939118
0,0,1,0,0,1,1,0,1,1,1,0,195.006206,631.7435653
0,0,0,1,0,1,0,0,0,1,0,1,139.95684,562.6095219
0,1,1,0,0,1,0,0,0,0,1,1,114.983787,593.8572264
1,0,0,1,1,1,1,0,0,0,0,0,207.638588,777.3060718
1,0,0,1,1,1,0,0,0,0,0,1,187.609354,1393.202392
0,0,0,0,0,1,0,1,0,0,1,1,134.950905,393.6524652
1,0,0,0,1,1,1,0,1,0,0,1,192.470522,409.7486664
1,0,0,1,1,0,0,1,1,0,1,1,222.628057,2138.107161
0,0,1,0,1,1,0,0,0,1,0,1,162.468917,443.984031
1,0,0,0,0,1,1,0,1,0,1,0,159.979358,2481.385603
0,0,1,0,1,1,1,1,1,0,0,1,184.979684,2233.567181
1,0,0,1,1,1,0,0,1,1,1,1,245.145743,1158.91369
0,0,0,0,0,1,0,0,1,0,0,0,124.97808,529.40733
1,0,1,1,0,1,0,0,1,1,1,0,187.484705,1956.7337
0,0,1,0,0,1,0,0,1,1,1,1,162.500692,2056.386979
0,0,0,1,0,1,1,0,1,0,0,1,182.467607,1067.373076
1,0,1,1,1,0,0,0,1,0,1,1,222.660939,1806.135733
0,0,0,1,0,1,1,0,1,0,0,1,182.467607,1397.701335
1,0,0,1,1,1,1,1,1,0,0,1,220.161527,808.4305471
0,0,0,0,1,1,0,0,0,0,1,1,169.937833,1886.531937
1,0,0,1,0,0,1,0,1,0,1,1,204.963371,2294.781131
1,0,0,1,0,1,1,0,1,0,1,0,204.963371,826.3438621
1,0,0,1,1,1,1,0,0,1,1,0,245.128318,2072.564168
1,0,1,1,0,1,1,1,0,0,1,1,172.473314,1436.793746
1,0,1,0,1,0,1,0,0,0,0,0,172.456745,1963.332683
1,0,1,1,0,1,1,0,1,0,0,1,194.976769,1324.164906
0,0,0,1,0,1,0,0,0,0,0,1,137.439154,704.9375603
1,0,0,0,1,1,1,1,1,0,0,1,192.470522,888.6517305
1,0,1,0,1,1,0,0,0,0,0,0,159.951231,377.0810282
0,0,0,0,0,1,0,0,0,0,0,1,112.455141,1606.489936
1,1,1,1,0,1,0,0,0,1,1,1,174.961766,1431.409396
0,1,0,1,0,1,0,0,0,1,1,0,162.452604,2253.85247
0,1,0,0,0,1,1,1,1,0,0,1,137.483594,1353.29384
0,0,0,1,1,1,1,1,1,0,1,1,275.133571,1701.457566
1,0,0,0,1,1,0,0,0,0,0,0,127.442069,1290.737183
1,1,1,1,1,1,0,0,0,0,1,0,210.138,1403.270091
0,1,0,0,0,1,1,0,0,0,1,1,147.456419,2603.903672
1,0,0,1,1,1,1,1,1,0,1,1,242.657291,1256.287854
0,1,1,0,0,1,0,1,0,0,1,1,114.983787,980.9935923
0,0,0,1,1,1,0,1,1,0,0,1,187.656013,1347.869205
0,0,0,1,0,1,1,0,1,0,0,0,149.991327,1127.267848
0,1,0,0,0,1,1,1,0,0,0,0,124.960655,1269.836202
1,0,0,1,1,1,1,1,1,0,0,1,220.161527,1038.745378
0,0,1,0,0,0,1,0,1,0,1,0,172.48852,1531.155367
0,0,1,0,0,1,0,1,1,1,0,0,120.004928,991.2441024
1,0,0,1,1,1,1,0,1,0,0,1,220.161527,1244.296865
1,0,0,0,1,1,0,0,1,0,0,1,139.965008,1162.332926
0,0,1,0,1,1,0,0,0,0,0,1,159.951231,577.1157824
1,0,1,1,0,1,1,0,0,0,1,0,184.949594,1442.974877
1,0,0,1,1,1,1,0,1,0,0,1,252.637807,1577.208717
0,0,0,0,0,1,0,0,0,0,0,1,112.455141,886.9398744
0,0,0,0,0,1,1,0,1,0,1,1,179.979358,1065.06443
0,0,0,0,1,1,1,1,0,0,1,1,202.443347,951.886985
0,0,1,1,0,1,1,0,1,0,1,1,197.472533,1404.435534
1,0,0,1,1,0,1,0,1,1,0,1,255.155493,1925.911722
1,1,1,1,0,1,1,1,1,0,0,0,174.976769,1805.011298
0,0,1,0,0,1,1,0,1,0,0,1,169.992756,700.7343179
1,0,0,1,0,1,1,0,0,0,1,1,192.440432,513.237305
0,0,0,0,1,1,0,1,1,0,1,0,182.460772,717.3876564
0,0,0,0,1,1,0,1,1,0,0,0,139.965008,1313.492851
1,0,0,0,1,1,0,0,0,0,1,1,137.461553,819.4195269
1,0,1,1,0,1,1,0,1,0,1,0,217.472533,882.1160656
1,0,1,1,1,1,0,1,0,0,1,1,210.138,724.7803356
0,0,1,0,0,0,0,0,0,0,0,1,104.964303,1829.270014
1,0,0,1,1,1,1,0,0,0,1,0,262.610632,1668.199119
1,0,1,0,1,1,0,1,0,1,1,0,152.488401,1124.353152
1,0,1,0,1,1,1,0,0,1,0,0,174.974431,1316.239744
0,0,1,1,1,1,0,0,0,0,0,1,220.118516,1637.201426
0,1,0,1,0,1,0,1,0,1,1,0,162.452604,951.8524406
1,0,0,0,1,1,1,1,0,1,1,1,184.961033,1248.097652
0,0,0,0,1,1,1,0,1,1,1,1,217.483972,2220.255405
0,0,1,1,1,1,0,0,0,0,0,0,220.118516,1669.202417
1,1,1,1,1,1,0,0,0,0,0,1,187.642236,990.0555076
0,1,1,1,0,1,0,1,0,1,1,1,174.961766,967.9819136
1,0,0,1,1,1,1,0,1,0,0,1,252.637807,2190.259876
0,0,1,0,0,1,0,0,1,1,1,0,130.024412,1445.752781
1,0,0,0,1,1,0,0,1,1,0,0,162.482694,528.6553088
1,0,0,1,0,1,1,0,1,0,0,1,182.467607,1296.481055
0,0,0,1,0,1,0,0,0,0,1,1,139.934918,1195.393037
1,1,1,1,1,1,0,0,1,0,0,0,200.165175,1700.121992
1,0,1,1,1,1,0,0,1,1,0,0,202.682861,2120.673828
0,0,1,0,1,1,0,0,0,0,0,0,159.951231,1238.421347
0,0,1,1,0,1,0,0,0,0,0,1,149.948316,847.110799
1,0,0,0,1,1,0,0,0,1,0,1,149.959755,1112.937102
0,0,1,0,0,1,1,1,0,0,0,0,137.469817,1623.045026
1,0,0,1,1,1,0,0,1,0,0,1,187.656013,1479.730181
1,0,0,1,0,1,1,0,1,1,0,0,164.985293,2144.735024
1,0,0,0,1,1,0,0,1,0,0,0,159.965008,1522.289512
0,0,0,1,0,1,1,0,0,1,0,1,172.462354,1974.780054
1,0,1,1,0,1,1,0,0,0,1,0,204.949594,1261.177198
0,0,0,0,0,1,0,0,1,0,1,0,147.473844,939.7181324
1,1,1,1,0,1,0,0,1,0,0,0,162.471255,1357.062854
0,0,0,1,0,1,0,0,0,1,0,0,119.95684,1456.887443
1,0,0,1,1,1,0,0,0,0,0,0,207.609354,937.5863866
0,0,1,0,1,1,1,0,1,0,1,1,194.999168,830.1193011
0,0,0,1,0,1,0,0,1,1,1,1,174.975543,737.8564608
1,0,0,1,1,1,1,0,0,0,0,0,240.114868,1781.854862
1,0,0,1,1,1,1,1,0,0,0,1,240.114868,2464.577489
0,0,1,0,0,1,0,0,1,0,1,1,139.983006,2392.203409
1,0,0,1,1,1,1,0,0,0,0,1,240.114868,1664.19271
1,0,1,0,1,1,1,0,1,1,1,1,209.993134,1433.616898
0,0,0,0,0,1,1,1,0,0,1,0,147.456419,823.4933243
0,0,0,0,0,1,0,0,1,1,0,1,107.495766,1468.357421
1,0,0,0,1,1,0,1,1,1,1,1,152.502178,590.7765801
0,0,0,0,0,1,0,0,0,0,0,0,79.978861,418.6206885
0,0,0,0,1,1,0,1,1,1,0,1,142.482694,1181.991846
0,0,0,1,0,1,0,0,0,0,0,1,117.439154,733.4036934
1,0,0,1,1,1,0,1,1,0,0,1,220.132293,1719.173387
1,1,0,0,1,1,0,0,0,1,1,1,152.455519,1205.956363
0,0,1,1,0,1,0,0,0,1,1,0,174.961766,1261.032763
1,0,0,0,1,1,1,0,0,0,1,1,202.443347,741.7766988
1,0,0,1,1,1,0,0,0,1,0,0,210.12704,932.6084359
0,0,0,0,1,1,0,1,0,1,1,0,139.979239,1708.614019
0,0,0,0,1,1,0,1,1,0,0,0,139.965008,1363.58603
0,0,0,1,0,1,0,1,0,0,0,1,137.439154,472.1057019
0,0,0,0,0,1,0,0,0,0,1,0,102.474625,558.2340556
1,0,0,1,1,1,1,1,1,0,0,1,252.637807,815.194738
1,0,1,0,1,1,1,1,1,0,1,1,194.999168,2007.303617
1,0,0,1,1,1,1,0,0,0,1,0,242.610632,2088.48083
0,0,0,1,0,1,0,0,0,0,1,0,127.458638,1430.761492
0,0,0,1,0,1,0,1,0,1,1,1,129.976324,822.3008694
1,0,0,1,1,1,1,0,0,0,0,0,240.114868,2059.200998
0,0,0,1,0,1,0,0,1,1,1,1,174.975543,617.542543
0,0,0,1,0,1,1,0,0,0,0,0,169.944668,758.4775985
1,0,0,0,1,1,1,1,1,1,0,0,162.511928,894.6733856
0,0,0,1,0,1,0,0,0,1,0,1,119.95684,1639.898269
0,0,0,1,0,0,0,0,0,0,0,0,137.439154,710.7541633
0,1,1,1,0,1,1,0,0,1,1,0,207.46728,1092.226042
0,0,0,0,0,1,1,0,0,1,1,1,149.974105,757.0097075
0,0,1,1,1,1,0,0,1,1,1,1,225.178625,2301.850721
1,0,0,1,1,0,1,0,1,0,0,1,232.637807,2401.406545
0,0,1,1,0,1,0,1,0,0,0,0,117.472036,1535.788894
0,0,1,0,0,1,1,0,0,0,0,1,137.469817,1536.589816
0,0,0,1,1,1,0,0,1,0,0,0,220.132293,2153.778421
0,0,0,0,0,1,1,1,0,0,0,0,124.960655,2409.195918
0,1,1,1,0,1,1,1,1,1,1,0,199.990219,1342.862457
1,0,0,0,1,1,1,0,0,0,0,0,159.947583,1046.054674
1,0,0,1,1,0,0,0,1,1,1,0,245.145743,1204.479468
1,0,0,1,1,1,1,0,1,1,0,0,255.155493,1616.908193
0,0,0,0,0,1,0,1,0,0,1,0,134.950905,345.0099528
1,0,0,0,1,1,1,1,0,0,0,0,159.947583,1427.088655
0,0,1,0,0,1,1,0,0,1,0,1,139.987503,1452.334634
1,0,0,0,1,1,1,1,0,0,0,0,179.947583,795.4957358
0,0,0,0,0,0,0,1,1,0,1,1,127.473844,1333.894229
1,0,0,1,1,1,1,0,1,0,0,0,232.637807,1402.20491
1,0,1,0,0,1,1,1,1,1,1,1,195.006206,1447.196935
1,1,1,1,1,1,1,1,1,0,1,1,267.642733,1662.510936
0,0,0,0,1,1,0,1,0,1,0,0,149.959755,1707.641161
1,0,0,1,1,1,1,0,0,0,0,1,220.114868,2181.752793
0,0,0,0,0,1,1,0,1,0,0,0,157.483594,1575.683555
0,0,1,0,1,1,0,0,0,0,0,0,127.474951,1029.489242
0,1,0,1,0,1,0,0,1,0,1,1,139.981577,2370.184448
1,0,0,1,1,1,1,0,1,0,1,1,255.133571,3309.919373
1,0,0,0,1,1,1,0,1,0,1,1,194.966286,1623.273925
0,1,1,0,0,1,1,0,0,0,1,1,179.965581,1146.199921
1,1,1,1,0,0,1,1,1,0,0,1,174.976769,2229.268031
0,0,0,1,1,1,0,0,0,0,0,0,187.609354,2512.36494
0,0,0,0,1,1,0,1,0,0,1,1,169.937833,1297.388488
0,0,0,0,0,1,1,0,0,1,0,0,115.002061,283.39178
1,1,0,1,0,1,1,1,0,1,0,0,152.462354,1947.7853
1,0,0,1,1,1,0,0,0,0,0,1,207.609354,849.1972541
0,0,0,0,0,1,1,0,1,0,1,0,147.503078,2131.359827
0,1,1,1,1,1,0,0,0,0,0,1,200.118516,1464.035068
0,0,0,0,0,1,1,0,0,1,1,1,137.497825,1381.538548
0,0,0,0,0,1,1,0,0,0,1,0,134.980139,1248.626874
0,1,0,0,1,1,0,1,0,0,0,0,147.442069,558.3751762
0,0,1,1,0,1,1,0,1,1,0,0,197.494455,676.2178659
0,0,1,0,0,1,1,0,1,1,1,1,162.529926,1641.938696
1,0,0,1,1,1,0,0,1,0,1,0,210.151777,1811.964373
1,0,1,0,0,1,1,0,0,0,1,0,159.965581,1066.632555
1,0,0,1,1,0,0,0,1,1,0,1,190.173699,1514.131966
1,0,0,1,1,1,0,0,1,1,0,0,202.649979,1189.549671
0,0,0,0,0,1,0,0,0,0,1,1,134.950905,1114.020282
0,0,1,0,0,1,0,0,1,1,1,1,142.500692,1078.291303
0,1,0,0,0,1,0,1,1,0,1,1,114.997564,854.2977548
1,0,1,1,1,1,1,1,0,0,0,1,232.62403,1489.077486
1,0,0,1,1,1,0,0,1,0,1,1,242.628057,1649.312808
1,0,0,0,1,0,1,1,0,0,1,1,202.443347,905.1959227
0,0,1,0,0,1,1,0,0,0,0,1,124.993537,684.6318529
0,0,1,1,0,1,1,0,1,0,0,0,174.976769,1662.533055
1,0,0,1,1,0,0,0,1,1,1,1,225.145743,2436.57146
1,0,0,1,1,1,1,0,1,0,1,0,275.133571,2677.74041
1,0,1,1,1,1,1,1,1,0,1,0,287.642733,1779.309609
1,0,0,1,1,1,0,0,0,1,0,0,177.65076,1494.716409
1,0,0,1,1,0,1,0,0,0,0,0,220.114868,1740.72604
1,0,1,0,1,1,1,0,1,1,1,1,197.516854,704.7552669
0,0,1,0,1,1,1,0,0,1,0,0,194.974431,558.4710883
1,0,0,1,1,1,0,0,0,0,0,1,175.133074,1282.279049
1,0,0,0,0,1,1,0,0,1,0,0,147.478341,287.8189836
0,0,0,0,0,1,1,1,0,0,1,1,134.980139,1129.529441
0,0,0,0,0,1,1,0,1,0,0,0,157.483594,394.0148722
0,0,1,1,1,1,1,0,0,1,0,1,255.141716,1302.230824
0,0,0,1,0,1,0,1,0,0,0,1,137.439154,970.4682919
0,0,1,1,1,1,0,0,1,1,0,1,235.159141,2522.88913
1,0,1,0,0,1,0,0,0,0,1,1,147.460067,682.9871863
1,1,0,1,1,1,1,0,1,0,0,0,232.637807,1537.109931
1,0,0,1,0,1,0,0,0,0,0,1,137.439154,1961.923965
0,0,1,1,0,1,0,1,0,0,0,1,129.948316,676.1747964
1,0,0,1,1,1,1,0,0,1,0,1,242.632554,929.2607767
1,1,0,1,1,1,0,0,0,0,0,0,187.609354,1849.484087
1,1,0,1,1,1,1,0,0,1,1,1,232.652038,1998.680227
0,0,1,0,1,1,1,0,0,0,0,1,159.980465,1898.877878
1,0,0,0,1,1,1,0,0,0,0,0,159.947583,992.3501481
0,1,1,0,0,1,0,0,1,0,0,1,137.487242,994.6354785
1,0,1,1,1,1,0,0,0,1,1,1,245.131966,954.0290712
0,0,0,1,0,1,0,0,0,0,0,0,117.439154,1775.838153
1,0,1,0,1,1,1,1,1,1,1,1,209.993134,1297.050577
0,0,0,0,0,1,1,0,0,1,1,1,169.974105,1746.405243
0,0,1,0,1,1,1,0,0,1,1,1,197.470195,1698.465833
1,0,1,0,0,1,1,0,1,0,0,1,137.516476,665.4740915
1,0,1,0,1,1,1,1,1,0,1,1,207.475448,1886.153328
0,0,0,0,0,1,1,0,1,1,0,1,160.00128,958.6989908
0,0,0,0,0,1,1,0,0,1,0,1,147.478341,1446.203986
0,0,0,0,1,1,0,0,1,0,0,1,127.488728,774.6125757
0,0,0,1,0,1,0,0,1,0,1,0,139.981577,1939.811149
1,1,0,1,1,1,0,1,1,0,0,1,220.132293,1165.564309
0,0,1,0,1,1,1,0,0,0,1,0,214.952509,750.8768234
0,1,1,0,1,1,0,0,1,0,0,0,139.99789,1292.3206
1,1,1,1,1,0,1,0,1,1,1,0,270.160419,2335.130986
1,0,0,0,1,1,1,0,0,0,1,1,202.443347,769.8534863
0,0,1,0,1,1,0,0,1,0,0,1,172.47417,1729.837284
1,0,0,1,0,1,1,1,0,0,0,1,137.468388,649.3891796
0,0,0,1,0,1,0,0,0,0,0,0,104.962874,823.0046464
0,0,1,0,1,1,0,0,1,0,1,0,174.969934,1107.882056
0,0,1,0,1,0,0,0,1,0,0,1,139.99789,683.8622599
0,0,1,1,0,1,0,1,1,1,0,1,144.988941,1301.49424
0,0,0,0,0,1,0,0,1,0,1,1,114.997564,1079.012505
1,1,0,0,1,1,1,0,0,1,1,1,172.484753,1283.463995
0,0,0,0,0,1,0,0,1,0,0,0,124.97808,987.653655
0,0,1,0,1,1,0,1,1,1,0,1,174.991856,1088.263081
0,0,1,0,0,1,0,0,0,0,0,0,92.488023,583.0259559
0,0,0,0,1,1,0,0,1,0,0,0,139.965008,1778.733282
1,0,0,0,1,1,1,1,1,0,0,0,192.470522,900.4043765
1,0,1,1,1,1,0,1,0,0,0,0,220.118516,1693.576099
1,1,0,1,1,1,0,1,0,1,1,1,232.622804,1143.826239
0,0,0,1,1,1,1,0,0,1,0,0,210.156274,886.340074
0,0,0,0,0,1,0,0,0,1,0,1,114.972827,373.2772664
0,0,1,0,0,1,0,1,0,1,1,0,149.977753,1245.328696
1,0,0,1,0,0,1,0,1,1,0,1,184.985293,1564.936841
0,0,0,1,0,1,0,0,1,1,0,1,132.479779,1354.401018
1,0,0,1,1,1,0,0,0,1,0,1,190.12704,1971.429689
0,1,1,0,0,1,0,0,0,0,0,1,92.488023,623.7865683
1,1,0,1,1,1,1,0,0,0,0,1,220.114868,3040.553763
1,0,0,0,0,1,0,0,1,1,0,0,107.495766,864.7036995
0,0,0,0,1,1,1,0,0,0,1,0,169.967067,2042.113893
1,0,0,1,1,1,1,0,1,1,0,1,222.679213,1973.661316
1,0,0,1,1,1,0,0,1,0,0,1,200.132293,1755.645123
1,0,0,1,1,1,1,1,0,0,1,0,262.610632,1758.735654
1,1,1,1,0,1,1,0,0,1,0,0,152.495236,557.0118807
0,0,1,1,1,1,0,0,0,1,0,0,202.636202,2205.334092
0,0,0,0,0,1,1,1,0,1,0,1,127.478341,1451.201108
0,1,1,0,0,1,0,0,1,0,1,0,159.983006,609.0598401
1,0,0,0,0,1,1,0,0,0,0,1,124.960655,1221.100604
1,1,1,1,1,1,1,0,0,0,0,1,252.62403,745.0493094
0,0,0,0,0,1,0,0,1,0,0,0,104.97808,1220.452161
1,0,0,0,1,1,1,1,0,1,1,1,204.961033,1771.472597
1,0,0,1,1,1,0,0,1,1,1,0,245.145743,1201.484293
0,0,0,0,0,1,0,1,1,1,0,1,95.019486,764.3017535
0,1,0,0,1,1,0,1,0,0,1,0,169.937833,1022.415622
1,0,1,0,1,1,1,1,1,0,1,0,207.475448,1284.442486
0,0,1,0,0,0,0,1,0,0,1,1,114.983787,289.9240291
1,0,0,1,1,1,1,0,1,0,0,1,232.637807,1718.600163
0,0,1,1,1,1,0,0,0,1,1,1,225.131966,2494.633068
1,0,1,1,1,1,0,0,1,0,0,1,212.641455,2270.749222
1,0,1,1,0,0,1,0,0,1,0,0,152.495236,567.6177123
1,0,0,0,0,1,0,0,0,0,1,1,134.950905,380.0501404
1,0,0,1,1,1,0,0,1,0,0,1,200.132293,1436.408211
0,0,1,0,1,1,1,0,0,1,1,1,197.470195,1852.503069
0,0,1,0,1,1,1,0,0,0,0,1,192.456745,1312.008382
1,0,1,1,0,1,0,1,1,0,0,0,162.471255,863.0820861
1,0,1,1,1,1,0,0,1,0,1,0,222.660939,1854.793303
0,0,0,0,0,1,0,0,0,0,1,0,114.950905,1778.431765
1,0,1,0,1,1,0,0,0,0,1,1,182.446995,764.2419259
0,0,1,0,0,1,0,1,0,1,0,0,95.005709,307.018806
1,0,1,0,1,1,1,0,0,0,0,0,172.456745,1179.782483
0,0,0,1,1,1,0,0,0,1,0,0,177.65076,1040.034575
0,0,0,1,1,1,1,0,0,0,0,1,207.638588,1080.159892
1,0,1,1,1,1,0,0,0,0,0,1,220.118516,775.5613336
0,0,0,1,0,1,1,0,0,0,0,1,137.468388,1061.587971
1,0,0,0,1,1,0,0,1,0,0,0,159.965008,1334.403775
0,0,0,0,1,1,1,0,0,1,0,0,182.465269,2346.143947
0,0,1,0,0,1,0,0,0,1,1,1,129.977753,1491.768656
1,1,0,0,0,1,1,1,0,0,0,0,112.484375,927.1279646
0,0,0,0,1,1,0,0,1,0,0,1,127.488728,686.9354616
0,0,1,1,0,1,0,1,1,0,0,1,162.471255,1460.513443
1,0,1,1,0,0,0,0,0,1,1,0,154.961766,1942.250203
0,0,1,1,0,1,1,1,1,0,0,1,194.976769,1923.549943
0,0,1,0,0,1,1,0,1,0,1,0,192.48852,1239.802036
0,0,0,1,0,1,0,0,0,1,1,1,162.452604,2499.186161
0,0,0,1,0,1,0,0,0,1,0,1,107.48056,302.3848209
1,0,0,0,1,1,0,0,1,1,0,1,142.482694,1865.48625
1,0,1,1,0,1,1,1,1,1,0,1,165.018175,908.7910203
0,0,0,0,0,1,1,1,1,0,0,1,125.007314,790.9469893
1,0,1,0,0,1,1,1,0,1,0,1,139.987503,956.2636975
0,0,0,0,0,1,0,0,0,0,0,0,112.455141,639.3261343
1,0,0,1,1,1,0,1,0,1,1,1,212.622804,1572.045646
0,1,0,0,1,1,0,0,1,0,1,1,182.460772,3099.922244
1,1,0,0,1,1,1,0,0,0,0,0,159.947583,1599.727567
0,0,0,1,1,1,0,1,1,1,1,0,245.145743,2188.672399
0,0,1,0,0,1,0,0,0,1,1,0,149.977753,1586.699491
1,0,1,1,0,1,0,1,1,0,1,1,184.967019,1828.279015
0,1,0,0,0,1,0,0,0,0,0,1,92.455141,1866.966586
0,0,0,1,0,1,1,1,0,0,0,1,149.944668,1718.555203
1,0,0,0,0,1,1,1,0,0,1,1,167.456419,556.2193844
1,0,1,0,1,1,1,0,1,1,1,0,197.516854,1035.183038
1,0,1,0,1,1,0,0,0,1,1,1,152.488401,1580.43019
1,0,0,0,1,1,0,1,1,1,0,0,162.482694,703.6927423
1,0,0,1,1,1,1,0,0,0,1,0,262.610632,1842.258692
1,0,0,1,1,1,0,0,1,1,0,1,190.173699,1167.271182
1,0,1,1,0,0,1,1,1,1,1,0,187.513939,1007.289786
