Techie,TechSupport,StreamingTV,StreamingMovies,Phone,Multiple,Tablet,DeviceProtection,OnlineSecurity,OnlineBackup,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,const
0,1,1,0,1,1,0,1,1,1,1,219.9902,5338.376401,1
1,0,1,0,1,0,0,0,1,0,1,119.95684,2164.579412,1
0,0,0,0,1,0,0,1,0,0,0,104.9781,841.0151958,1
0,1,1,0,1,1,0,1,0,0,1,194.9768,3572.738241,1
0,1,1,1,1,0,0,1,1,0,0,235.1591,3729.770527,1
0,0,1,1,0,0,1,0,1,1,1,232.6228,1046.538825,1
1,1,0,1,1,0,0,1,1,0,1,174.9919,755.0711809,1
0,0,1,0,0,0,1,0,1,0,1,139.9568,5530.421045,1
0,1,0,0,1,0,0,0,0,0,0,92.488023,583.0259559,1
0,0,0,0,1,0,0,0,0,1,1,114.9509,1377.652033,1
0,0,1,1,1,0,1,1,0,0,1,220.1323,4203.265113,1
0,0,0,0,1,1,0,1,1,0,0,140.0013,1462.964796,1
0,1,0,0,0,1,0,1,0,1,1,192.4885,6243.997319,1
0,0,1,0,1,1,0,0,1,0,0,172.4624,6193.73618,1
0,1,1,0,1,0,1,1,0,1,1,184.967019,1828.279015,1
1,0,0,1,1,0,0,1,0,1,1,182.460772,1048.128938,1
0,0,1,1,1,1,1,1,0,0,1,252.6378,6130.335448,1
0,0,0,0,1,1,0,1,1,0,1,160.00128,627.0001275,1
0,0,0,1,1,0,0,0,1,0,0,117.4835,2744.394944,1
0,1,1,0,1,0,1,0,1,1,0,142.485486,756.2815791,1
0,1,0,1,1,0,0,0,0,1,1,182.447,833.2996999,1
0,1,0,1,1,1,0,1,1,0,0,207.49737,922.1362066,1
0,0,1,0,1,0,0,0,0,1,0,127.458638,1034.285556,1
0,0,1,0,1,1,0,1,0,0,1,182.4676,4592.61237,1
0,0,1,1,1,0,0,0,1,0,0,210.127,2774.912011,1
1,1,1,0,1,0,0,0,0,1,1,172.44408,1069.849043,1
0,0,0,0,1,0,0,0,0,1,1,102.4746,5548.354455,1
0,0,1,1,0,1,0,1,0,1,0,275.1336,4314.292516,1
1,0,0,0,1,0,0,1,0,1,1,147.4738,4970.688189,1
0,0,1,0,1,0,1,0,1,0,0,139.9568,5587.309027,1
0,0,0,0,1,1,1,0,0,1,1,134.9801,3561.612414,1
1,0,0,1,1,0,0,1,0,1,1,149.9845,5397.392962,1
0,1,1,1,1,1,1,1,0,1,0,255.1665,1200.461726,1
1,0,0,0,1,0,1,1,0,0,1,92.5018,505.1435902,1
0,1,0,0,1,0,1,0,1,1,0,149.977753,1245.328696,1
0,0,1,1,1,1,0,0,0,0,1,240.1149,4868.237911,1
0,0,1,1,1,1,1,0,0,1,0,242.610632,1680.337106,1
0,0,1,1,0,1,1,1,0,0,1,232.6378,6155.213641,1
1,0,1,0,1,1,0,0,0,1,0,192.440432,619.3340158,1
0,1,1,1,1,0,1,0,0,0,1,200.1185,2705.01162,1
0,1,0,1,1,0,0,1,1,1,0,197.4876,5216.298758,1
0,1,1,0,1,0,0,0,0,1,1,139.9678,5797.443843,1
0,1,1,0,1,1,0,0,1,1,0,174.991,5202.411958,1
0,0,1,0,1,0,0,0,0,0,0,137.4392,5272.094696,1
1,0,0,0,1,1,1,1,0,0,1,137.4836,985.5470101,1
0,1,1,1,1,1,1,1,0,1,0,267.6427,5645.707551,1
1,1,0,1,1,1,0,1,1,0,0,207.4974,1117.284921,1
1,1,0,0,1,1,0,1,0,1,1,160.0122,4824.624209,1
0,1,1,0,1,1,0,0,0,1,1,184.9496,1178.011696,1
1,0,1,0,1,0,1,1,0,1,0,139.9816,5626.09355,1
0,1,1,1,1,0,1,1,0,0,0,232.6415,6182.78427,1
0,1,0,1,1,0,0,0,0,0,0,159.9512,5341.417352,1
1,0,0,0,1,1,0,1,1,0,0,160.0013,1217.604663,1
1,1,0,0,0,1,0,0,0,0,0,157.4698,419.4107069,1
0,1,1,1,1,0,0,0,0,0,1,187.6422,6140.576122,1
1,0,0,1,1,0,1,1,0,1,1,182.460772,723.0321035,1
0,0,1,1,1,0,1,0,0,0,1,207.6094,6031.136319,1
0,0,0,1,1,0,0,1,1,1,1,184.9785,6083.905265,1
0,0,0,0,1,1,0,1,0,0,1,137.483594,1291.915318,1
1,0,0,1,1,0,0,1,1,0,1,142.4827,5169.811527,1
0,0,0,1,1,1,0,1,0,0,0,192.4705,4791.676231,1
1,1,0,1,1,0,0,0,1,0,1,162.4689,618.6284163,1
0,1,1,1,1,1,0,0,1,0,1,235.1417,6821.289567,1
1,1,0,1,1,1,0,0,1,1,0,184.993915,819.3644961,1
0,0,1,1,1,1,0,1,0,0,0,232.6378,6217.92046,1
0,1,1,0,1,1,1,0,1,0,0,164.9715,5218.998099,1
0,1,0,0,1,1,1,0,1,1,0,150.007,1165.027263,1
1,1,0,0,1,1,1,1,1,1,1,175.0062,1122.243782,1
1,0,1,1,1,0,0,0,1,0,1,177.6508,6246.264685,1
0,1,1,1,1,0,1,1,0,0,1,212.6415,1330.057877,1
1,0,1,1,1,1,0,0,0,1,1,262.6106,6119.953747,1
0,1,1,0,1,0,0,0,0,1,0,139.9678,1262.985557,1
0,0,1,1,1,1,0,1,1,0,0,255.1555,5455.610895,1
0,1,0,0,0,1,0,0,1,1,1,182.4833,3871.367991,1
0,1,0,0,1,0,0,0,0,0,0,104.9643,869.1995017,1
0,0,1,1,1,1,0,1,0,0,1,252.6378,1489.056859,1
0,0,1,1,1,1,0,0,0,1,1,242.6106,6191.579895,1
0,1,1,0,1,0,0,1,1,0,1,144.9889,6565.394972,1
0,1,1,0,1,0,0,0,0,1,1,172.4441,5084.889707,1
1,0,0,0,0,0,1,0,1,0,1,114.9728,4620.499985,1
0,0,0,1,0,0,0,0,1,0,1,117.483475,1150.859858,1
0,0,0,0,0,1,0,0,1,0,1,147.4783,5767.046848,1
0,0,1,1,1,0,0,1,1,1,0,245.1457,1692.14874,1
0,1,0,0,1,1,0,1,0,0,1,137.5165,5396.225434,1
0,0,1,1,1,0,0,1,1,0,0,202.65,1589.753327,1
0,0,0,0,1,1,0,1,0,1,1,159.9794,1741.511236,1
0,1,0,0,1,0,0,0,0,1,1,147.4601,1544.583357,1
0,1,0,1,1,1,1,1,0,1,0,227.4754,5684.35373,1
0,1,1,0,1,0,0,1,0,0,0,129.995,5689.932511,1
0,0,0,1,1,1,0,1,0,0,1,192.470522,2026.989634,1
0,0,0,1,1,1,1,0,0,1,0,182.4433,1598.041286,1
1,0,1,1,1,1,1,0,0,1,1,230.1344,5470.490324,1
0,0,0,1,1,1,1,0,0,0,1,159.9476,1347.567075,1
0,0,0,1,1,1,0,0,0,0,1,179.9476,5820.087969,1
0,0,1,1,1,0,1,0,0,1,1,230.105118,1013.993166,1
0,1,1,0,1,1,1,1,0,0,0,194.9768,829.6494763,1
0,0,1,1,1,1,1,1,1,1,1,257.6513,1882.174515,1
1,0,0,1,1,0,1,1,0,0,1,159.965,347.446058,1
0,1,1,0,1,1,0,0,0,1,1,172.4733,1193.771492,1
1,0,0,0,1,0,1,0,0,0,0,112.4551,4173.252675,1
0,1,0,0,1,1,1,0,0,0,1,124.9935,1404.351494,1
0,0,1,1,1,1,1,1,1,0,0,222.6792,5410.603621,1
0,0,0,1,1,1,0,0,0,0,1,179.9476,5785.96133,1
0,0,0,0,1,1,1,0,1,0,1,147.478341,261.1185652,1
0,1,0,0,1,0,0,1,1,0,0,140.0049,5715.040053,1
1,0,1,1,1,1,1,0,1,0,1,242.632554,800.9827661,1
0,1,0,0,1,1,0,1,1,1,0,162.5299,2110.79392,1
1,0,1,0,0,0,0,0,0,0,1,117.4392,1458.027932,1
0,0,0,0,1,0,0,0,0,1,1,102.4746,3795.698707,1
0,1,0,0,0,1,0,0,0,0,1,137.469817,922.4502594,1
0,0,0,1,1,1,0,0,0,0,1,179.9476,1952.410832,1
0,0,1,1,1,0,1,0,1,0,0,210.127,654.0700617,1
0,1,1,1,1,0,1,0,1,0,0,202.6362,2436.72717,1
0,1,1,1,1,1,0,1,1,0,1,247.6647,5856.498648,1
1,0,0,1,1,1,0,0,1,1,1,184.961,2580.274842,1
1,0,1,1,1,0,1,1,0,1,1,242.6281,6291.368213,1
1,1,1,1,1,1,0,0,1,1,1,277.6375,4674.111818,1
0,0,0,0,1,0,0,0,1,0,0,114.9728,501.6283743,1
1,1,0,1,1,0,0,1,0,1,1,162.4937,5270.238451,1
0,0,1,1,0,1,0,0,1,0,0,222.6326,6626.798645,1
0,0,0,0,1,0,1,0,0,0,1,92.45514,4984.657525,1
0,0,0,1,1,1,0,1,1,0,0,174.9882,5580.901602,1
0,0,0,1,1,0,0,1,0,1,0,182.4608,998.0645117,1
0,0,0,0,1,1,1,1,0,1,0,159.9794,4697.773285,1
0,1,1,0,0,1,0,1,1,0,1,197.4945,1696.96925,1
0,0,1,0,1,1,0,1,0,0,0,182.4676,5510.00981,1
0,1,1,0,1,1,0,0,0,1,0,172.4733,4580.300146,1
0,1,1,0,1,0,0,0,0,0,1,129.948316,1041.301237,1
0,1,0,0,1,1,0,0,1,0,1,139.9875,1282.568064,1
0,1,0,0,1,0,0,0,0,1,0,127.4601,1123.647592,1
0,0,1,0,1,1,0,0,0,0,1,149.9447,6480.587744,1
0,0,1,0,1,0,1,1,0,1,0,172.4579,5824.416954,1
0,1,1,0,1,1,1,0,0,0,0,182.4538,664.5638593,1
0,1,0,1,1,0,1,0,1,0,1,162.468917,380.7222437,1
0,1,0,0,1,0,0,1,0,1,0,127.5067,410.7703918,1
0,0,0,1,1,1,0,1,0,0,1,192.4705,602.3082109,1
0,0,1,1,1,1,0,0,0,1,0,242.610632,1647.423104,1
0,1,0,1,1,0,0,0,1,1,0,164.9647,940.3579408,1
0,1,0,0,0,0,0,1,0,0,1,137.4872,5909.817728,1
1,1,1,1,1,0,0,1,1,0,1,235.1591,5396.115807,1
1,0,0,1,1,0,0,1,0,0,0,159.965,5852.816544,1
0,1,1,0,1,0,0,0,0,1,1,172.4441,4237.980107,1
0,0,1,0,1,0,1,1,1,1,1,174.975543,704.1947645,1
0,0,0,1,1,0,0,1,0,0,1,159.965,5838.199467,1
1,1,1,0,1,0,0,0,1,1,1,174.961766,1431.409396,1
0,0,0,1,1,0,0,0,0,0,1,147.4421,1042.786672,1
1,1,0,1,1,1,1,1,0,0,1,172.503404,900.6921852,1
0,1,0,0,1,0,1,0,1,0,0,127.482,4862.320826,1
0,1,1,1,1,0,0,0,1,0,0,222.6362,2192.448535,1
1,0,0,0,1,1,0,0,0,1,0,167.4564,720.6519058,1
0,0,1,0,1,0,0,0,0,0,0,137.4392,270.9293518,1
1,0,0,1,1,1,1,0,0,1,1,202.4433,4910.205779,1
0,0,0,1,1,1,0,1,0,0,1,192.470522,985.0943424,1
0,1,1,0,1,0,1,0,1,1,1,154.961766,2356.021599,1
0,1,0,0,0,1,0,1,0,1,0,172.48852,1531.155367,1
0,0,1,0,1,1,0,0,0,1,1,192.4404,1584.550026,1
0,1,0,1,1,1,1,0,0,0,1,159.9805,5486.682465,1
0,0,1,1,1,1,0,0,1,0,0,222.6326,1385.269228,1
0,1,1,1,1,0,0,1,0,0,0,212.6415,1263.539898,1
0,0,0,0,1,1,0,0,0,1,1,147.4564,5289.66919,1
0,0,1,1,1,1,0,0,1,0,0,222.6326,6240.770429,1
1,1,0,1,0,0,0,1,0,1,1,194.9699,956.2196954,1
1,0,0,0,1,0,1,0,0,0,0,79.97886,1346.569879,1
0,0,0,1,1,0,1,0,1,0,1,149.959755,771.6292755,1
1,0,1,1,1,0,0,0,0,0,1,207.609354,1061.749813,1
1,0,1,0,1,0,0,0,1,1,1,129.9763,4530.607391,1
0,1,1,1,0,0,0,0,1,1,1,245.132,6354.692181,1
1,0,0,1,1,0,1,1,0,1,0,149.984492,1559.824693,1
0,1,1,1,1,0,1,1,1,0,0,235.1591,1396.329395,1
1,0,0,0,1,1,0,1,0,1,1,159.9794,1528.092146,1
1,0,0,0,1,0,1,1,0,0,0,104.97808,697.3086442,1
0,1,0,1,0,1,0,0,1,0,1,194.974431,1946.450068,1
0,1,1,0,1,0,0,0,0,0,0,149.9483,5708.957593,1
1,1,1,0,1,1,0,1,0,1,1,197.4725,5906.275909,1
1,0,1,0,1,0,1,1,0,0,1,149.9621,585.3561113,1
0,0,1,0,1,0,1,1,1,0,0,152.4798,4941.822921,1
0,0,0,0,1,1,1,1,0,0,1,137.4836,4108.848897,1
1,1,0,0,1,0,0,0,1,1,0,117.5015,558.6380046,1
0,0,1,0,1,0,0,0,0,1,0,127.4586,1152.131327,1
0,0,1,0,1,0,1,1,0,1,1,139.981577,644.5909961,1
0,0,0,0,1,0,0,1,0,1,1,114.9976,979.002185,1
0,0,1,1,1,0,0,0,0,0,0,187.6094,1683.120743,1
1,0,1,1,1,1,0,1,0,1,1,275.133571,1385.020283,1
0,0,0,1,1,1,0,1,1,0,1,174.9882,4904.424094,1
0,0,0,0,1,0,0,0,0,0,0,92.455141,1275.194778,1
0,1,1,1,1,1,1,1,0,0,0,232.670689,1526.533644,1
0,1,1,1,1,1,1,0,1,1,1,277.63748,1251.370845,1
0,0,0,1,1,1,0,0,0,0,0,179.9476,902.9358857,1
0,1,1,1,1,1,0,0,1,1,1,277.6375,5552.256288,1
1,0,1,1,1,0,0,0,0,1,1,230.1051,1599.616413,1
0,0,0,0,1,0,0,1,1,1,1,129.9915,5800.854441,1
0,0,1,1,1,0,1,0,0,1,1,197.6288,966.3793761,1
0,1,0,1,1,1,0,1,0,1,0,207.4754,5648.31533,1
0,0,0,0,1,1,1,0,0,0,0,144.9607,4516.882554,1
0,0,0,1,1,0,0,0,1,1,1,172.4555,4926.633778,1
0,0,1,0,1,0,0,0,1,0,0,139.9568,5675.878459,1
0,0,0,1,1,0,0,1,1,0,1,130.0064,4604.128041,1
1,0,1,1,1,0,0,0,0,1,1,230.1051,4866.033533,1
0,1,1,0,1,1,1,0,0,0,1,182.4538,6211.505298,1
0,0,1,0,1,1,0,1,0,1,1,184.963371,1138.169594,1
0,0,1,0,1,0,0,0,1,0,1,139.9568,655.9249473,1
0,0,1,0,1,1,0,1,0,1,1,204.9634,4903.899257,1
0,0,0,1,1,0,0,1,0,0,0,139.965,826.331106,1
0,0,1,0,0,1,0,1,0,1,1,204.963371,616.51937,1
0,1,1,1,1,0,0,1,1,0,1,235.1591,5674.248741,1
0,0,0,0,1,1,0,1,1,0,1,140.00128,1281.923094,1
0,0,0,0,1,0,0,0,0,0,1,92.455141,1587.688033,1
0,1,0,1,1,1,1,0,1,1,0,197.4702,1574.095143,1
0,0,0,0,1,1,0,0,0,1,0,134.980139,1199.466728,1
1,1,1,1,1,1,0,1,1,0,1,267.6647,2183.450856,1
0,1,0,1,1,0,1,0,1,1,1,164.964681,1714.901159,1
0,0,1,1,1,1,0,1,0,0,1,220.1615,2605.553463,1
0,1,1,0,1,1,0,1,1,0,1,165.0182,4971.679712,1
0,1,0,0,1,1,0,0,0,1,1,159.9656,5165.862705,1
0,1,1,0,1,0,0,0,1,0,0,152.466,5382.496895,1
1,0,0,1,1,0,0,1,0,1,1,182.460772,3099.922244,1
0,0,1,1,1,1,0,0,1,1,0,232.652,6054.367041,1
0,0,0,1,0,1,0,1,0,0,0,192.4705,6015.544544,1
0,0,0,0,1,1,1,1,0,0,1,137.4836,5861.996544,1
0,1,0,0,1,1,1,0,0,0,1,157.4698,4115.596496,1
0,0,0,0,0,0,0,0,1,1,0,117.4686,6460.957622,1
0,1,1,1,1,0,1,0,0,0,1,200.1185,6125.429918,1
0,1,1,0,1,1,1,1,0,1,1,217.4725,6002.159687,1
0,0,0,1,1,0,0,0,0,0,1,127.4421,963.6972905,1
0,1,0,0,1,0,0,0,0,0,1,124.9643,4714.487291,1
0,0,1,1,1,0,0,0,1,0,1,190.12704,1663.694612,1
0,1,1,1,1,1,0,1,0,0,1,265.147,1308.576837,1
0,0,1,0,1,1,0,0,0,1,1,192.4404,3385.487772,1
1,0,1,0,1,1,0,0,1,0,0,152.4624,5583.623978,1
0,0,1,0,1,0,0,1,0,1,1,139.9816,5437.952701,1
0,0,0,0,0,0,0,0,0,0,0,79.97886,1069.807995,1
0,0,0,0,1,1,0,1,1,0,1,127.525,5506.82644,1
0,1,0,0,1,1,0,0,0,1,1,179.965581,914.8863272,1
0,1,1,1,1,0,0,0,0,1,0,242.6143,868.2420268,1
0,0,1,0,1,0,1,0,0,0,1,137.4392,5549.125491,1
0,0,1,1,1,1,0,1,0,1,0,275.1336,6499.362155,1
0,0,1,1,1,0,0,0,0,0,1,187.6094,6799.703331,1
0,1,0,0,1,0,0,1,1,1,1,142.500692,1078.291303,1
0,1,0,0,0,0,0,0,1,0,1,107.482,5777.579326,1
0,1,1,1,1,1,0,1,1,1,1,270.1604,2408.542735,1
0,1,1,0,1,0,1,1,1,1,1,155.0084,4520.861055,1
0,0,0,1,1,0,1,0,0,1,0,169.9378,4047.773653,1
0,0,1,1,1,0,1,0,1,0,1,177.6508,921.6983239,1
0,1,0,1,1,0,1,0,1,0,1,162.4689,5046.115879,1
1,0,1,0,1,0,1,1,0,0,1,117.4858,5218.637314,1
0,0,0,0,1,1,0,0,1,0,0,147.478341,287.8189836,1
0,0,1,1,1,1,0,1,0,0,0,232.6378,1392.809918,1
1,0,0,1,1,0,0,0,1,0,1,149.9598,6071.607482,1
1,0,0,0,1,1,0,0,0,1,1,167.4564,5992.278257,1
0,0,1,0,1,0,0,1,0,0,0,129.9621,1497.624239,1
1,0,0,0,1,0,0,1,0,0,0,124.9781,6101.379973,1
0,0,1,0,0,0,0,0,1,1,1,129.976324,1204.678983,1
0,1,0,0,1,0,0,0,1,0,1,127.482,4862.205431,1
0,0,1,0,1,0,0,1,0,1,1,172.4579,588.3651083,1
0,0,1,1,1,0,0,1,0,0,1,187.656,680.4074741,1
1,1,0,1,1,1,0,0,1,1,1,184.993915,1116.825249,1
1,1,0,0,1,0,0,0,0,1,1,114.983787,593.8572264,1
1,1,1,1,1,0,0,1,1,0,1,215.159141,2056.185889,1
0,0,0,1,1,0,0,0,1,1,0,152.4555,6426.704792,1
1,0,1,0,1,1,1,0,1,0,1,152.4624,4828.2039,1
0,0,1,0,1,0,0,0,0,1,0,127.4586,5252.240805,1
0,0,0,1,1,0,0,0,0,1,0,137.4616,5851.65666,1
0,0,0,1,0,0,0,1,1,1,0,184.9785,5651.568466,1
0,0,1,0,1,1,0,0,1,0,1,152.4624,2123.824956,1
1,0,0,0,1,0,0,0,1,0,1,114.9728,293.0174607,1
0,0,1,1,1,0,1,1,1,1,0,245.1457,6447.175354,1
0,1,1,0,1,0,0,1,1,0,0,132.5127,874.6357853,1
0,0,0,1,1,0,0,1,0,0,1,139.965,6545.565039,1
1,0,0,1,1,0,0,0,0,0,1,127.4421,1612.488802,1
0,1,0,0,1,1,0,1,1,0,1,152.510442,752.1641496,1
0,1,0,0,0,1,0,0,1,0,0,127.5112,4979.764199,1
1,0,1,0,1,1,0,1,1,1,1,175.0048,1502.652508,1
0,1,0,0,1,0,0,1,0,1,1,139.983,4827.605046,1
0,0,1,1,1,1,1,0,0,1,0,242.6106,1187.716662,1
0,0,0,0,1,1,1,0,0,1,1,147.4564,6072.987281,1
0,0,0,0,0,1,0,0,0,1,0,147.4564,5900.543943,1
1,0,1,1,1,1,0,0,0,0,0,240.1149,4435.063306,1
1,0,0,0,1,0,1,1,1,0,0,127.4958,5486.549081,1
0,0,1,0,1,1,0,1,1,1,0,207.4811,6383.577895,1
0,0,0,0,1,0,0,0,1,0,1,114.9728,5931.909999,1
0,0,1,0,0,1,0,0,0,1,1,192.4404,4721.018056,1
0,1,0,1,1,1,0,1,0,1,1,207.4754,5663.575209,1
0,0,0,1,1,1,0,0,0,0,0,179.947583,369.7619068,1
0,0,0,0,1,0,1,0,1,0,1,114.972827,959.951483,1
0,1,0,0,1,1,1,0,1,1,1,162.4833,1659.460954,1
0,1,0,1,1,0,0,1,1,1,1,197.4876,729.7825005,1
0,1,1,0,1,0,0,1,1,1,0,155.0084,3893.3098,1
0,0,0,0,1,0,0,0,0,1,1,134.950905,567.3663629,1
1,1,0,0,1,0,0,0,0,1,1,147.4601,1238.315929,1
1,0,0,0,1,1,0,0,0,1,1,167.456419,800.3296612,1
0,1,1,1,1,1,0,0,0,0,1,252.624,5166.92619,1
0,0,0,1,1,0,0,1,1,1,0,164.9785,1679.924727,1
0,0,0,0,1,0,0,0,0,1,0,114.9509,4812.411802,1
0,0,0,0,1,1,0,0,0,0,1,144.9607,5699.245355,1
1,1,0,0,1,1,0,1,0,1,1,192.4885,4951.560917,1
0,0,0,1,0,0,1,1,0,0,0,139.965008,848.3285479,1
0,0,0,1,0,1,0,1,1,0,1,194.9882,5413.209537,1
0,0,0,0,1,0,0,1,0,1,0,127.4738,1242.428824,1
0,1,0,1,1,1,1,0,1,0,0,194.9744,4455.454555,1
0,1,1,1,1,0,1,0,0,0,1,220.1185,6128.760704,1
0,0,1,0,1,0,1,1,1,1,1,142.499263,1148.911745,1
0,0,0,1,1,0,0,1,1,0,1,162.4827,531.0770713,1
1,0,0,1,1,1,0,0,0,0,1,179.9476,4194.479859,1
0,0,1,0,1,0,0,0,0,0,0,137.4392,4469.238447,1
0,0,1,0,1,0,1,0,0,0,1,117.4392,1436.859689,1
0,0,0,1,1,0,0,0,0,1,0,149.937833,1554.416773,1
0,1,1,1,1,1,0,0,1,0,1,235.1417,5341.03502,1
0,0,1,1,1,0,1,1,0,0,1,220.132293,1218.124487,1
0,0,1,0,1,1,0,0,0,0,1,169.9447,5573.580119,1
0,1,0,0,1,0,0,0,0,0,0,124.964303,561.4934455,1
0,0,1,0,1,0,0,1,1,0,0,152.4798,858.2482994,1
0,0,0,1,1,1,0,1,1,0,0,174.9882,1918.9486,1
0,0,0,1,1,0,1,1,0,0,1,139.965,3158.141347,1
0,0,0,1,1,1,1,1,0,0,1,172.4705,6073.965344,1
0,1,1,0,1,0,1,0,1,0,0,132.466,2062.862632,1
0,1,1,1,0,0,0,1,0,0,0,212.6415,5546.135558,1
0,0,0,1,0,0,0,0,0,1,0,169.9378,1982.143037,1
0,0,1,1,1,0,1,0,0,0,1,207.6094,5933.623643,1
0,1,0,0,1,0,0,0,1,1,1,149.9778,4810.280705,1
1,1,0,0,1,0,1,0,0,1,0,127.4601,918.1830814,1
0,0,1,1,1,1,0,0,0,1,1,262.6106,1221.605576,1
0,0,1,1,1,1,0,1,0,1,0,255.1336,6699.368513,1
0,1,0,0,0,0,1,1,0,0,1,105.011,4827.450022,1
1,0,1,0,1,0,1,0,0,0,1,137.4392,5001.371216,1
0,1,1,0,1,0,1,1,0,1,1,152.4907,4745.853799,1
0,0,1,0,1,0,0,0,1,0,1,119.95684,1639.898269,1
0,1,1,0,1,0,0,1,0,1,1,152.4907,778.5344798,1
0,0,1,0,0,0,0,1,0,0,1,117.4858,5649.428932,1
0,0,0,1,1,0,1,1,0,0,0,139.965008,1363.58603,1
0,1,1,1,1,1,1,0,1,1,1,257.6375,5899.517682,1
0,0,1,1,1,1,0,1,0,1,1,255.1336,2017.913692,1
1,1,1,1,1,0,0,1,1,0,1,235.1591,6547.536791,1
0,0,1,0,1,1,0,0,1,0,0,152.4624,6279.052879,1
0,0,1,0,1,0,0,1,0,0,1,117.4858,5623.802264,1
1,0,0,1,1,1,0,0,0,1,0,182.4433,1275.031579,1
0,0,0,1,1,1,1,0,0,1,1,182.4433,5281.851852,1
0,1,1,0,1,1,1,1,1,0,0,177.4945,5759.875218,1
0,0,0,0,1,0,0,0,0,1,1,114.950905,1324.330108,1
0,0,0,0,1,1,0,0,0,1,1,134.9801,5875.620719,1
0,1,1,1,1,1,1,0,1,1,1,277.63748,1710.958869,1
0,1,0,0,1,1,0,0,0,0,1,137.4698,911.2594992,1
0,0,1,0,1,1,0,0,0,1,1,172.440432,1552.772876,1
1,1,0,0,1,1,0,1,1,1,1,175.0062,6559.360681,1
0,0,0,1,1,0,0,1,0,1,1,182.4608,4176.013803,1
0,1,0,1,0,0,1,0,0,0,0,139.9512,4524.487668,1
0,0,1,0,1,1,0,1,0,1,1,204.9634,1835.681416,1
0,0,0,1,1,1,1,0,0,0,1,159.947583,1200.010955,1
0,1,0,1,1,0,0,0,0,1,0,162.447,5157.491329,1
0,1,1,0,1,0,0,1,1,0,0,164.9889,779.2981636,1
0,0,1,0,1,0,0,0,1,0,1,119.9568,696.77888,1
0,0,0,1,1,0,1,0,0,0,0,114.9658,6391.664046,1
0,1,0,1,1,1,0,1,0,0,1,184.9797,5048.660319,1
0,1,1,0,1,1,0,1,0,0,1,174.9768,4552.057718,1
0,1,0,0,1,0,0,1,1,1,1,142.5007,1697.166405,1
0,0,0,1,1,0,1,1,0,1,1,182.460772,1077.996673,1
0,0,1,1,1,0,0,1,0,1,1,222.628057,1176.40624,1
0,1,1,1,1,0,0,0,0,1,0,242.6143,1369.012136,1
0,0,0,0,1,0,1,1,1,0,1,95.019486,764.3017535,1
0,0,1,1,1,1,0,0,0,0,0,240.1149,4886.937383,1
0,0,1,0,1,1,0,1,1,0,1,152.509,939.7724617,1
0,1,1,1,0,0,1,1,0,1,0,235.1372,1206.875735,1
0,0,1,0,1,0,0,1,1,1,0,174.9755,792.3707277,1
0,0,0,0,1,1,0,0,1,1,0,149.9741,1541.0921,1
0,0,0,0,1,1,1,1,1,0,1,140.00128,1340.930156,1
